Label,Date,ID_main,youTube,timeStamp,Speaker,French,party,seconds,english,floor
28,2017-12-05,2017 12 05 7,https://youtu.be/5gCAoCj6-F0,29M 54S,Diane Lebouthillier,1,LIB,9.4,"We will do so based on the principle of fairness for everyone who receives the disability tax credit, regardless of their disability.","Nous le ferons par principe d'équité pour tous les bénéficiaires du crédit d'impôt pour personnes handicapées, peu importe leur handicap."
29,2017-12-05,2017 12 05 8,https://youtu.be/wlLMRzdr93Y,40M 13S,Patty Hajdu,0,LIB,5.11,"Canada has created more than 600,000 jobs since October 2015","Canada has created more than 600,000 jobs since October 2015"
30,2017-12-05,2017 12 05 9,https://youtu.be/PQ41R-Ryp0c,47M 2S,Harjitt S. Sajjan,0,LIB,11.1,"In terms of the timeline that it has taken, the interim gap that needs to be filled, Davie shipyard is building that interim capability gap, and we thank them for that service.","In terms of the timeline that it has taken, the interim gap that needs to be filled, Davie shipyard is building that interim capability gap, and we thank them for that service."
31,2017-12-01,2017 12 01 0,https://youtu.be/JLP9t8rCqBE,5M 21S,Maximme Bernier,1,CPC,10.29,He does not even consult Canadians about his measures—,Il ne consulte même pas les Canadiens en ce qui concerne ses mesures...
32,2017-12-01,2017 12 01 1,https://youtu.be/45Wzzog4yf8,6M 8S,Ruth Ellen Brosseau,0,NDP,5.39,"Yesterday, the Liberals released the names of their picks for the positions of official languages and lobbying commissioner. ","Yesterday, the Liberals released the names of their picks for the positions of official languages and lobbying commissioner. "
33,2017-12-01,2017 12 01 2,https://youtu.be/IOkcCYQFwIE,7M 24S,Ruth Ellen Brosseau,1,NDP,6.33,It seems to me that the government learned nothing from the Madeleine Meilleur fiasco.,NA Il me semble que le gouvernement n'a absolument rien appris avec le fiasco de la nomination de Madeleine Meilleur. 
34,2017-12-01,2017 12 01 3,https://youtu.be/rIcv2j0FJfA,8M 47S,Matthew Dube,1,NDP,12.06,"On another topic, yesterday, the Standing Committee on Public Safety and National Security met with the Minister of Public Safety only for one hour on a 138-page omnibus bill, Bill C-59.","Sur un autre sujet, hier, au Comité permanent de la sécurité publique et nationale, nous avons accueilli le ministre de la Sécurité publique pendant une heure seulement concernant un projet de loi omnibus de 138 pages, le projet de loi C-59."
35,2017-12-01,2017 12 01 4,https://youtu.be/dEN4NUW9yHI,9M 19S,Matthew Dube,1,NDP,9.33,"Can the minister commit to come before the Standing Committee on Public Safety and National Security, and once again answer members' questions on this omnibus bill?",Est-ce que le ministre peut s'engager à venir au Comité permanent de la sécurité publique et nationale et répondre encore une fois aux questions des parlementaires sur ce projet de loi omnibus?
36,2017-12-01,2017 12 01 5,https://youtu.be/1PZmhBySc6Y,11M 31S,Mark Holland,0,LIB,10.36,"The committee proceedings are following detailed work that was done on the security and intelligence framework, and the most exhaustive consultations that happened on a national basis.","The committee proceedings are following detailed work that was done on the security and intelligence framework, and the most exhaustive consultations that happened on a national basis."
37,2017-12-01,2017 12 01 6,https://youtu.be/JCzEND6lKFM,18M 42S,Joel Lightbound,0,LIB,11.24,"Mr. Speaker, I would also think that the some 20,000 children in my riding whose families receive more money through the Canada child benefit, which has lifted 300,000 kids out of poverty, would have the utmost confidence in the finance minister.","Mr. Speaker, I would also think that the some 20,000 children in my riding whose families receive more money through the Canada child benefit, which has lifted 300,000 kids out of poverty, would have the utmost confidence in the finance minister."
38,2017-12-01,2017 12 01 7,https://youtu.be/26jG_qIY9ec,19M 25S,Sheila Malcolmson,0,NDP,7.29,Does the minister concede that this bill fails to end gender discrimination for all indigenous women?,Does the minister concede that this bill fails to end gender discrimination for all indigenous women?
39,2017-12-01,2017 12 01 8,https://youtu.be/VuFoldRTCEI,20M 6S,Yvonne Jones,0,LIB,11.16,"We are making historic amendments to this bill today, and we are remedying all sex-based inequities that have existed going back to 1869.","We are making historic amendments to this bill today, and we are remedying all sex-based inequities that have existed going back to 1869."
40,2017-12-01,2017 12 01 9,https://youtu.be/Z-GO0ple3xE,27M 38S,Kennedy Steward,0,LIB,8.52,"According to Statistics Canada, in 2012, during the worst year of Stephen Harper's war on science, the federal government employed 37,000 scientists and researchers.","According to Statistics Canada, in 2012, during the worst year of Stephen Harper's war on science, the federal government employed 37,000 scientists and researchers."
41,2017-11-28,2017 11 28 0,https://youtu.be/M1QVQxPNTao,2M 26S,Justin Trudeau,0,LIB,5.53,"The fact is we always focus on the security of Canadians, and we always will.","The fact is we always focus on the security of Canadians, and we always will."
42,2017-11-28,2017 11 28 1,https://youtu.be/Hcf7RTGZd7E,14M 42S,Pierre Poilievre,0,CPC,14.44,"Mr. Speaker, yesterday John Ivison indicated that he received some documents showing that the sale of the 680,000 shares by the minister would have happened on December 3","Mr. Speaker, yesterday John Ivison indicated that he received some documents showing that the sale of the 680,000 shares by the minister would have happened on December 3"
43,2017-11-28,2017 11 28 2,https://youtu.be/gq9-p2Fzra0,23M 7S,Joel Lightbound,1,CPC,6.34,He also announced that he was donating to charity any difference in the value of those shares since the election.,Il a également annoncé qu'il donnait à des oeuvres de charité la différence en valeur des actions depuis l'élection.
44,2017-11-28,2017 11 28 3,https://youtu.be/UUZnk8A9trw,23M 35S,Candice Bergen,0,CPC,5.24,"However, 24 hours have passed and I am hoping the Prime Minister may have spoken with his finance minister.","However, 24 hours have passed and I am hoping the Prime Minister may have spoken with his finance minister."
45,2017-11-28,2017 11 28 4,https://youtu.be/GYHQCyQCa_g,28M 11S,Kristy Duncan,0,LIB,6.41,Mr. Speaker our government is committed to creating open spaces for Canadians to debate and express their views.,Mr. Speaker our government is committed to creating open spaces for Canadians to debate and express their views.
46,2017-11-28,2017 11 28 5,https://youtu.be/YCXxVDwSvUA,29M 31S,Maxime Bernier,1,CPC,4.57,My question is simple. Was that person the Minister of Finance?,La question est bien simple: est-ce que cette personne est bel et bien le ministre des Finances?
47,2017-11-28,2017 11 28 6,https://youtu.be/8ADo99cLUuE,33M 32S,Joel Lightbound,1,LIB,5.59,"Under the Conservatives, not only was it taxable, but it was also sent to all families, regardless of income.","Sous les conservateurs, non seulement elle était imposable, mais elle était envoyée à toutes les familles, nonobstant leur revenu."
48,2017-11-28,2017 11 28 7,https://youtu.be/DQMelzJEwlc,35M 17S,Karine Trudel,1,NDP,7.15," If the government did not know what it was doing when it implemented Phoenix, how can we expect it to fix this disaster?"," Si le gouvernement ne savait pas ce qu'il faisait lors de l'implantation de Phénix, comment pouvons-nous nous attendre à ce qu'il règle ce désastre? "
49,2017-11-28,2017 11 28 8,https://youtu.be/Mx4hSR3r9Q8,40M 37S,Navdeep Bains,0,LIB,13.42,"We support work-integrated learning, which is why we invested $221 million to create more workplace opportunities in science, technology, engineering, mathematics, and in business programs.","We support work-integrated learning, which is why we invested $221 million to create more workplace opportunities in science, technology, engineering, mathematics, and in business programs."
50,2017-11-28,2017 11 28 9,https://youtu.be/NCj-kfi_V00,40M 58S,Navdeep Bains,0,LIB,4.01,This is about creating good-quality jobs for students for today and tomorrow.,This is about creating good-quality jobs for students for today and tomorrow.
51,2017-11-23,2017 11 23 0,https://youtu.be/_3xiboe9CZo,7M 30S,Diane Lebouthillier,1,LIB,8.45," Mr. Speaker, no one is above the law and no one is interfering with the CRA's investigations.","Monsieur le Président, nul n'est au-dessus des lois et personne ne s'ingère dans les investigations de l'Agence du revenu du Canada."
52,2017-11-23,2017 11 23 1,https://youtu.be/TgoDj-iyQy4,9M 45S,Ralph Goodale,0,LIB,21.18,"The House can expect to see at least three different initiatives coming forward in the weeks and months immediately ahead, to establish a new policy framework, to provide a strategy that is geared to the 21st century, and a suite of initiatives that will ensure that Canada can be a leader in the forefront of the rest of the world.","The House can expect to see at least three different initiatives coming forward in the weeks and months immediately ahead, to establish a new policy framework, to provide a strategy that is geared to the 21st century, and a suite of initiatives that will ensure that Canada can be a leader in the forefront of the rest of the world."
53,2017-11-23,2017 11 23 2,https://youtu.be/bAOYmabgQUU,17M 6S,Rachel Blaney,0,NDP,11.58,"Mr. Speaker, yesterday, the Liberal government finally announced its housing strategy—","Mr. Speaker, yesterday, the Liberal government finally announced its housing strategy—"
54,2017-11-23,2017 11 23 3,https://youtu.be/iQqsBReAjWY,28M 18S,Sonia Sidhu,0,LIB,10.42,I appreciate the time the Minister of National Revenue and her parliamentary secretary took to meet with me to discuss the situation and to allow me to share the concerns I have heard.,I appreciate the time the Minister of National Revenue and her parliamentary secretary took to meet with me to discuss the situation and to allow me to share the concerns I have heard.
55,2017-11-23,2017 11 23 4,https://youtu.be/o_tlfQfHRGg,29M 59S,Diane Lebouthillier,1,LIB,9.27,"By reinstating the committee, the agency will benefit from its advice about enhancing the quality and accessibility of the services it provides to persons with disabilities and their families.","En le rétablissant, l'Agence bénéficiera de conseils pour rehausser la qualité et l'accessibilité des services qu'elle offre aux personnes handicapées et à leur famille."
56,2017-11-23,2017 11 23 5,https://youtu.be/7dXsh2HFZng,32M 16S,Ralph Goodale,0,LIB,15.05,"Mr. Speaker, the objective of the Government of Canada is to surveil them and contain them to ensure that they do not harm more people, and indeed bring the full force of Canadian justice against them for fighting for a terrorist organization.","Mr. Speaker, the objective of the Government of Canada is to surveil them and contain them to ensure that they do not harm more people, and indeed bring the full force of Canadian justice against them for fighting for a terrorist organization."
57,2017-11-23,2017 11 23 6,https://youtu.be/QSZIgyqm8n8,34M 35S,Brigitte Sansoucy,1,NDP,6.06,Why are seasonal workers still waiting for help?,Pourquoi les travailleurs et les travailleuses occupant un travail saisonnier doivent-ils encore attendre?
58,2017-11-23,2017 11 23 7,https://youtu.be/WabHZxU7kBQ,39M 44S,Chrystia Freeland,0,LIB,8.51,"We will never accept extreme proposals that harm the national interest, and I know Canadians are with us.","We will never accept extreme proposals that harm the national interest, and I know Canadians are with us."
59,2017-11-23,2017 11 23 8,https://youtu.be/rdaXZJdXoSc,41M 50S,Carla Qualtrough,1,LIB,16.27,The strategy includes a $2-billion small-ship construction program for competitive procurement among Davie and other Canadian shipyards other than the yards selected to build large vessels.," Comme il est énoncé dans la stratégie, un montant de 2 milliards de dollars pour la construction de petits navires est réservé pour l'attribution de contrats concurrentiels à la Davie et aux autres chantiers navals canadiens autres que les chantiers navals sélectionnés pour construire les grands navires."
60,2017-11-23,2017 11 23 9,https://youtu.be/MRjj6F4Ihzk,45M 32S,Luc Theriault,1,BQ,7.36,"According to the ICAO, there is no obligation to standardize the high-risk items not allowed on planes.","Selon l'OACI, il n'y a aucune obligation d'uniformisation concernant les articles à risque élevé dans les avions."
61,2017-11-20,2017 11 20 0,https://youtu.be/FuIus9fpqY8,3M 2S,Justin Trudeau,1,LIB,9.26,"Mr. Speaker, I am proud of the work that all members of the House of Commons have done to help us welcome hundreds of Yazidi women and children.","Monsieur le Président, je suis fier du travail que tous les députés de la Chambre des communes ont fait pour s'assurer que nous pouvons accueillir des centaines de femmes et d'enfants yézidis."
62,2017-11-20,2017 11 20 1,https://youtu.be/sSX2JIftvGI,4M 38S,Justin Trudeau,1,LIB,10.42,We will always work with her to ensure that Canadians can have confidence in the work she does and in the work we do in the House to be worthy of Canadians' trust.,Nous allons toujours travailler avec elle pour nous assurer que les Canadiens peuvent faire confiance au travail qu'elle fait et au travail que nous faisons tous à la Chambre pour être dignes de la confiance des Canadiens.
63,2017-11-20,2017 11 20 2,https://youtu.be/g0_w_v0sAMA,7M 41S,Justin Trudeau,1,LIB,6.34,We on this side of the House have faith in the integrity of the commissioner's work.,"De ce côté-ci de la Chambre, nous faisons confiance à l'intégrité et au travail de la commissaire."
64,2017-11-20,2017 11 20 3,https://youtu.be/b9lLAT9lOz4,9M 3S,Nathan Cullen,0,NDP,8.45,"Mr. Speaker, the Liberal ethics saga continues, with even more information coming out about the finance minister's clear conflict of interest with Bill C-27. ","Mr. Speaker, the Liberal ethics saga continues, with even more information coming out about the finance minister's clear conflict of interest with Bill C-27. "
65,2017-11-20,2017 11 20 4,https://youtu.be/aTJHvsZhhEI,15M 15S,Bill Morneau,0,LIB,3.31,"Mr. Speaker, as I have said, I will continue to work on behalf of Canadians. ","Mr. Speaker, as I have said, I will continue to work on behalf of Canadians. "
66,2017-11-20,2017 11 20 5,https://youtu.be/aWTT0xXC1cI,23M 41S,Kamal Khera,0,LIB,5.52,"We have added nurse practitioners to complete the applications of their patients, and we have just started.","We have added nurse practitioners to complete the applications of their patients, and we have just started."
67,2017-11-20,2017 11 20 6,https://youtu.be/2GoyEv7NOR0,24M 47S,Carla Qualtrough,0,LIB,12.32,"While the previous government spent $309 million on the systems, booked savings of $70 million a year, and let go of hundreds of employees in order to falsely balance its budget—","While the previous government spent $309 million on the systems, booked savings of $70 million a year, and let go of hundreds of employees in order to falsely balance its budget—"
68,2017-11-20,2017 11 20 7,https://youtu.be/AwdRImVU8YE,25M 58S,Brigitte Sansoucy,1,NDP,6.34,This government has no deadline and the number of public servants affected keeps going up. ,Ce gouvernement n'a aucun échéancier et le nombre de fonctionnaires touchés ne fait qu'augmenter.
69,2017-11-20,2017 11 20 8,https://youtu.be/EafQQLRpUUE,31M 6S,James Bezan,0,CPC,14.31,"While the Prime Minister defends his billionaire friends, he has already targeted Canadians suffering from diabetes, cut the danger pay of our troops fighting ISIS, and now has removed the allowances for ill and injured soldiers, all of this to pay for the Prime Minister's out of control spending.","While the Prime Minister defends his billionaire friends, he has already targeted Canadians suffering from diabetes, cut the danger pay of our troops fighting ISIS, and now has removed the allowances for ill and injured soldiers, all of this to pay for the Prime Minister's out of control spending."
70,2017-11-20,2017 11 20 9,https://youtu.be/OVeZiJ6sv98,47M 9S,Marc Garneau,1,LIB,7.43,"Mr. Speaker, I wish that my hon. colleague read the document I published last week. ","Monsieur le Président, j'aurais voulu que mon collègue lise le document que j'ai publié la semaine dernière."
71,2017-11-07,2017 11 07 0,https://youtu.be/JfMVkNA_i2A,9M 5S,Diane Lebouthillier,1,LIB,12.26,"That is why, in the last two budgets, we invested nearly $1 billion, with which we hired auditors and have been targeting four jurisdictions per year","C'est pour cela que, dans les deux derniers budgets, nous avons investi près de 1 milliard de dollars, ce qui a permis l'embauche de vérificateurs et a permis de cibler quatre territoires par année."
72,2017-11-07,2017 11 07 1,https://youtu.be/ZU_jNdO45do,10M 47S,Guy Caron,0,NDP,7.29,"Instead of hiding behind the bogus excuse that it felt legal anyway, we can roll up our sleeves and do something about it.","Instead of hiding behind the bogus excuse that it felt legal anyway, we can roll up our sleeves and do something about it."
73,2017-11-07,2017 11 07 2,https://youtu.be/67RQs2VqSCg,11M 12S,Diane Lebouthillier,1,LIB,10.28,"Mr. Speaker, as I said, our government is fully committed to fighting tax evasion and aggressive tax avoidance, which the Conservative Party failed to do for 10 years.","Monsieur le Président, comme je l'ai dit, notre gouvernement s'est fermement engagé à combattre l'évasion fiscale et l'évitement fiscal abusif, ce que le Parti conservateur n'a pas fait au cours des 10 dernières années."
74,2017-11-07,2017 11 07 3,https://youtu.be/cqQJoVobH3U,11M 47S,Diane Lebouthillier,1,LIB,4.36,We continue to work for Canadians and for a fair tax system.,Nous continuons le travail pour les Canadiens et pour l'équité du système fiscal.
75,2017-11-07,2017 11 07 4,https://youtu.be/QIPmnizQKAw,14M 59S,Luc Berthold,1,CPC,6.4,"In the same interview, he said that the goal was to raise a pile of money to help the Liberal leader become the next prime minister. ","Dans la même entrevue, il a dit que l'objectif était de récolter un paquet d'argent pour aider le chef libéral à devenir le prochain premier ministre."
76,2017-11-07,2017 11 07 5,https://youtu.be/7jJGGKShv6U,23M 29S,Andrew Nuttall,0,CPC,7.15, When will the Prime Minister stop treating hard-working Canadians like tax cheats and go after his own crew?, When will the Prime Minister stop treating hard-working Canadians like tax cheats and go after his own crew?
77,2017-11-07,2017 11 07 6,https://youtu.be/eTf6AGnX5pQ,26M 51S,Marilyn Gladu,0,CPC,6.48,When will the minister finally tell her tax collectors to lay off sick and vulnerable Canadians and focus on real tax cheats?,When will the minister finally tell her tax collectors to lay off sick and vulnerable Canadians and focus on real tax cheats?
78,2017-11-07,2017 11 07 7,https://youtu.be/prvwFv_ezNU,32M 23S,Bill Morneau,0,LIB,5.18,"We have now passed 500,000 new jobs in the country since we were elected.","We have now passed 500,000 new jobs in the country since we were elected."
79,2017-11-07,2017 11 07 8,https://youtu.be/q4bioMsPeQ8,38M 55S,Nathan Cullen,0,NDP,4.3,For years they fought against the release of the so-called tax gap in Canada.,For years they fought against the release of the so-called tax gap in Canada.
80,2017-11-07,2017 11 07 9,https://youtu.be/g7dcMnyjpTs,41M 33S,Joel Godin,1,CPC,7.15,"The Liberals are dangling tons of money before the municipalities, but some projects have been cancelled because of all of the unnecessary conditions being imposed.",Les libéraux font miroiter aux municipalités des tonnes d'argent et ils mettent toutes sortes de conditions inutiles qui provoquent l'annulation de projets.
81,2017-11-02,2017 11 02 0,https://youtu.be/XhjZAviNxWo,38S,Bill Morneau,1,LIB,1.3,Those are the numbers. ,Ce sont les chiffres.
82,2017-11-02,2017 11 02 1,https://youtu.be/bMStMhwTBic,1M 52S,Bill Morneau,0,LIB,8.1,"For those 300,000 children who are being lifted out of poverty, for their parents, it is intensely personal.","For those 300,000 children who are being lifted out of poverty, for their parents, it is intensely personal."
83,2017-11-02,2017 11 02 2,https://youtu.be/wAWyxttV8-8,9M 19S,Nathan Cullen,0,NDP,4.57," When are they actually going to live up to those words, or are they just meaningless words written on paper?"," When are they actually going to live up to those words, or are they just meaningless words written on paper?"
84,2017-11-02,2017 11 02 3,https://youtu.be/LLzCe_2efiU,14M 1S,Lisa Raitt,1,CPC,7.09,Is there a senior government official over there who will actually say that there is no other minister in the same position he put himself in?,Is there a senior government official over there who will actually say that there is no other minister in the same position he put himself in?
85,2017-11-02,2017 11 02 4,https://youtu.be/YYOL5sc06iU,18M 5S,Peter Kent,0,CPC,13.56,"The Prime Minister is all but directly blaming the Ethics Commissioner, blaming the Ethics Commissioner for the finance minister's several inexcusable lapses of judgment and for the Prime Minister's own willingness to look the other way.","The Prime Minister is all but directly blaming the Ethics Commissioner, blaming the Ethics Commissioner for the finance minister's several inexcusable lapses of judgment and for the Prime Minister's own willingness to look the other way."
86,2017-11-02,2017 11 02 5,https://youtu.be/8SX2wLhL0c0,31M 3S,Gerard Deltell,1,CPC,11.16,"The Liberal government is introducing a bill on access to information that would prevent the excellent work of journalists, people like Daniel Leblanc and others, from revealing things like the sponsorship scandal.","Le gouvernement libéral dépose un projet de loi sur l'accès à l'information qui fait en sorte que l'excellent travail des journalistes, de Daniel Leblanc et d'autres ne permettrait plus de dévoiler au grand jour le scandale des commandites."
87,2017-11-02,2017 11 02 6,https://youtu.be/odh_YL5oKKQ,31M 35S,Scott Brison,1,LIB,5.53," Mr. Speaker, in 2006, the Conservatives promised to reform the Access to Information Act.","Monsieur le Président, en 2006, les conservateurs ont promis de réformer la Loi sur l'accès à l'information. "
88,2017-11-02,2017 11 02 7,https://youtu.be/tMQvty2Z8ek,33M 31S,Shannon Stubbs,0,CPC,10.35,"Instead of insulting MPs and insinuating that female elected representatives cannot do math, why does the finance minister not just come clean and answer the questions?","Instead of insulting MPs and insinuating that female elected representatives cannot do math, why does the finance minister not just come clean and answer the questions?"
