Label,Video,Shuffle,Speaker,Party,Activation,Sentiment,englishHansard
0000958,2015 03 12 7,0.035064,"Hon. Kerry-Lynne D. Findlay (Minister of National Revenue, CPC)",CPC,7,3,Why is the NDP attempting to score cheap political points at the expense of professional public servants at the CRA?
0000153,2017 09 27 2,0.035213,Justin Trudeau,LIB,5,6,That is why we put forward proposals that will ask wealthy Canadians to stop using the advantages that the system currently gives them.
0000669,2016 04 22 8,0.036220,"Mrs. Karen McCrimmon (Parliamentary Secretary to the Minister of Veterans Affairs, Associate Minister of National Defence, Lib.)",LIB,5,3,"Right now, because of the inaction of the previous government, the list of work that needs to be done in Veterans Affairs is huge."
0000562,2016 09 19 1,0.037283,"Mr. Mark Strahl (Chilliwack—Hope, CPC)",CPC,7,3,"Why are the Liberals so intent on threatening British Columbia families with their made-in-Ottawa, job-killing carbon tax?"
0000523,2016 10 06 2,0.037506,"Hon. MaryAnn Mihychuk (Minister of Employment, Workforce Development and Labour, Lib.)",LIB,2,8," Instead, we are providing help to go to school, providing help to find the experience that they need, and working with industries and employers from coast to coast to coast to allow them an opportunity to have more co-ops, work placements, which will ensure that young people have a successful career going forward."
0000282,2017 04 12 1,0.039169,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,5,4,We will not make inappropriate use of omnibus bills like the former government did.
0000066,2017 11 20 5,0.039556,Kamal Khera,LIB,5,7,"We have added nurse practitioners to complete the applications of their patients, and we have just started."
0000214,2017 06 06 3,0.040777,Sean Casey,LIB,5,5,"In fact, as the hon. member knows, we appointed Kim Campbell to lead the Supreme Court of Canada advisory board."
0000309,2017 03 23 8,0.042405,"Hon. Bardish Chagger (Leader of the Government in the House of Commons and Minister of Small Business and Tourism, Lib.)",LIB,5,5,She has seen a lot of the stuff that has taken place here. 
0000192,2017 06 13 1,0.042648,Thomas Mulcair,NDP,5,5," Mr. Speaker, I imagine the Prime Minister will have no trouble making public what the Americans did say in this case."
0000882,2015 05 12 1,0.042689,"Hon. Pierre Poilievre (Minister of Employment and Social Development and Minister for Democratic Reform, CPC)",CPC,2,8,"We signed a free trade agreement with the European Union that will deliver 80,000 net new jobs, including in Honda Canada, which announced recently in the presence of the Prime Minister that it will export vehicles directly to Europe from Canada, creating 400 net new jobs in that one plant alone."
0000341,2017 02 21 0,0.043903,"Ms. Hélène Laverdière (Laurier—Sainte-Marie, NDP)",NDP,6,3,"The Prime Ministerclearly told refugees that Canada would welcome them, but he is refusing to put his money where his mouth is."
0001019,2015 01 28 8,0.045398,"Mr. Chris Warkentin (Peace River, CPC)",CPC,6,3," Mr. Speaker, today we woke up to the horrendous news that Israel has once again been the target of terrorist attacks."
0001011,2015 01 28 0,0.047902,"Hon. Thomas Mulcair (Leader of the Opposition, NDP)",NDP,6,4,"Mr. Speaker, a report has confirmed that the Canadian Forces are now involved in combat, despite the Prime Minister's formal commitment last fall that our soldiers would not be on the front lines."
0000162,2017 09 22 1,0.048652,Yvonne Jones,LIB,5,5,"Mr. Speaker, yesterday we had the opportunity to meet with the commissioners from the missing and murdered indigenous women inquiry in Canada and to hear first-hand from the commissioners about the work they are doing."
0000905,2015 04 24 4,0.049673,"Mr. Frank Valeriote (Guelph, Lib.)",LIB,7,3,Why are the Conservatives so stubbornly refusing to present a plan that will honour our sacred obligation to veterans and all their families?
0000131,2017 10 05 0,0.049824,Diane Lebouthillier,LIB,4,8,"We have invested the historic amount of $1 billion, which has allowed us to hire 100 additional staff and examine four jurisdictions per year."
0000911,2015 04 21 0,0.051533,"Right Hon. Stephen Harper (Prime Minister, CPC)",CPC,6,3,"It is not Saskatchewan, Quebec, or everywhere else where he tried to use parliamentary funds to establish party offices."
0000960,2015 03 12 9,0.052513,"Ms. Manon Perreault (Montcalm, Ind.)",IND,5,3,"With Bill C-51, the government is overlooking key safety issues and sidestepping other serious problems."
0000139,2017 10 05 8,0.054150,Ahmed Hussen,LIB,5,5,"Mr. Speaker, I would like to thank the hon. member for Etobicoke—Lakeshore for his question."
0000863,2015 05 27 2,0.055719,"Hon. Kevin Sorenson (Minister of State (Finance), CPC)",CPC,5,4,What we will not do is reach into the pockets of Canadians with a mandatory payroll tax and take money out of their pockets.
0000920,2015 04 21 9,0.057062,"Mrs. Maria Mourani (Ahuntsic, Ind.)",IND,5,5,"Mr. Speaker, in December 2014, the government ended the moratorium on deporting some 3,000 citizens of Haiti and Zimbabwe, requiring them to obtain status by June 1, 2015."
0000070,2017 11 20 9,0.059412,Marc Garneau,LIB,7,1,"Mr. Speaker, I wish that my hon. colleague read the document I published last week. "
0000667,2016 04 22 6,0.061156,"Hon. Hunter Tootoo (Minister of Fisheries, Oceans and the Canadian Coast Guard, Lib.)",LIB,5,2,"I would like to thank the member for her question, and I could not agree with her more; it was an issue that was totally ignored by the previous government. "
0000821,2015 06 12 0,0.062578,"Mr. Colin Carrie (Parliamentary Secretary to the Minister of the Environment, CPC)",CPC,5,7,"Since 2006, we have taken action on more than 2,700 substances under the chemicals management plan, "
0000875,2015 05 15 4,0.063254,"Ms. Linda Duncan (Edmonton—Strathcona, NDP)",NDP,8,3,"Does the current government just not get that Canadians want to share in the economy of the future, created through investments in a clean, renewable energy economy?"
0000663,2016 04 22 2,0.064710,"Hon. John McKay (Parliamentary Secretary to the Minister of National Defence, Lib.)",LIB,5,3,"Madam Speaker, it is only the Conservative opposition that can turn happy news into bad news."
0000098,2017 10 30 7,0.066025,Cheryl Hardcastle,NDP,5,5,Will the minister reverse this directive so that all persons previously eligible for this benefit can continue—
0000704,2016 03 21 3,0.067846,"Mr. Ben Lobb (Huron—Bruce, CPC)",CPC,5,5,They just need a little longer runway.
0000807,2015 12 07 6,0.068078,"Hon. Harjit S. Sajjan (Minister of National Defence, Lib.)",LIB,5,8,"Mr. Speaker, I first want to say that it is a privilege and an honour to be standing for the first time in this honourable House."
0000260,2017 05 10 9,0.068339,Justin Trudeau,LIB,5,7,People are very interested with the leadership that Canada is showing in terms of figuring out how to better protect our kids and pull away the profits from criminals and organized crime.
0000887,2015 05 12 6,0.069231,"Ms. Roxanne James (Parliamentary Secretary to the Minister of Public Safety and Emergency Preparedness, CPC)",CPC,5,6,"Mr. Speaker, I did speak a moment ago of Circles of Support, but I also want to point out that the Commissioner of the Correctional Service of Canada actually said that 95% of inmates who were released had completed their recognized programs in relation to the correctional program."
0000521,2016 10 06 0,0.070319,"Mr. Romeo Saganash (Abitibi—Baie-James—Nunavik—Eeyou, NDP)",NDP,5,4,"Mr. Speaker, not only is the Prime Minister responsible for the youth file, but I believe I heard him promise a new nation-to-nation relationship with indigenous peoples."
0000997,2015 02 17 6,0.071775,"Mr. Pierre Nantel (Longueuil—Pierre-Boucher, NDP)",NDP,8,1,"Now that their contempt is on public display, will the minister finally confess that she and her government take malicious pleasure in sucking the life out of the CBC?"
0000223,2017 06 01 2,0.073859,Andrew Scheer,CPC,5,3,It is also just a coincidence that two of her former employees now work for the Minister of Canadian Heritage.
0000528,2016 10 06 7,0.074312,"Hon. Ginette Petitpas Taylor (Moncton—Riverview—Dieppe, Lib.)",LIB,5,5,Can the Minister of Public Safety update the House on the status of the two class action lawsuits filed by the current and former women who have worked within the RCMP?
0000224,2017 06 01 3,0.075794,Sylvie Boucher,CPC,6,3, Will the minister cancel this proposed appointment or will we have to get to the bottom of the process and call for a public inquiry?
0000191,2017 06 13 0,0.075985,Justin Trudeau,LIB,4,3,"However, they put forward proposals that were unfunded and that were not able to be implemented."
0000846,2015 06 04 5,0.076508,"Hon. Chris Alexander (Minister of Citizenship and Immigration, CPC)",CPC,5,2,The New Democrats are irresponsible on these and other issues.
0000116,2017 10 20 5,0.076815,Matt DeCourcey,LIB,5,5,    That is why Canada shared a document concerning a chapter on indigenous people with the United States and Mexico. 
0000075,2017 11 07 4,0.077190,Luc Berthold,CPC,5,3,"In the same interview, he said that the goal was to raise a pile of money to help the Liberal leader become the next prime minister. "
0000290,2017 04 12 9,0.080723,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,5,6,We know that Canadian pressure and Canada being part of UNRWA allow us to ensure that the help is going to where it is needed and it is not creating negative consequences for Israel or for anyone else.
0001018,2015 01 28 7,0.084616,"Mr. Matthew Dubé (Chambly—Borduas, NDP)",NDP,5,4,We need to improve this process.
0000575,2016 06 15 4,0.087503,"Ms. Tracey Ramsey (Essex, NDP)",NDP,6,3,Why are Liberals moving ahead with the damaging TPP without meaningful consultations with indigenous peoples in Canada?
0000323,2017 03 08 2,0.087609,"Ms. Marilyn Gladu (Sarnia—Lambton, CPC)",CPC,5,5,His ministers are now taking their cue from him.
0000672,2016 04 19 1,0.094912,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,6,6,"Indeed, we will continue to respect contracts signed, because people around the world need to know that, when Canada signs a deal, it is respected."
0000792,2015 12 09 1,0.096710,"Hon. Bill Morneau (Minister of Finance, Lib.)",LIB,5,5,"Mr. Speaker, we find ourselves in a more challenging situation than we expected. "
0000949,2015 03 24 8,0.098769,"Ms. Joyce Murray (Vancouver Quadra, Lib.)",LIB,5,4,"In the meantime she has no income, she is about to lose her housing, and she is still not receiving the benefits she is entitled to."
0000276,2017 05 02 5,0.099513,"Hon. Pierre Poilievre (Carleton, CPC): ",CPC,5,4,"Has the government calculated how much taxpayers could lose if a market correction causes home prices to go down, or higher interest rates cause mortgage defaults to go up?"
0000099,2017 10 30 8,0.100118,Ron Liepert,CPC,6,3,"Mr. Speaker, I will take that answer as a yes, that he did inappropriately use resources of the House of Commons and no, that he did not clear it with the Ethics Commissioner."
0000641,2016 05 09 0,0.100401,"Hon. Ralph Goodale (Minister of Public Safety and Emergency Preparedness, Lib.)",LIB,3,6,"As we move now into future phases of how we will assist Alberta and Fort McMurray in the recovery, we will examine all possibilities for how everyone can help to the maximum extent possible."
0000324,2017 03 08 3,0.102219,"L’hon. Bardish Chagger (leader du gouvernement à la Chambre des communes et ministre de la Petite Entreprise et du Tourisme, Lib.)",LIB,4,7,"We are going to keep working for Canadians every day, and I encourage the member to work with us so that we can get more done together."
0000769,2016 02 02 8,0.102488,"Hon. Carolyn Bennett (Minister of Indigenous and Northern Affairs, Lib.):  ",LIB,4,6,We will work with first nations and achieve the goal of transparency and accountability with them.
0000386,2017 02 02 5,0.102849,"Hon. Amarjeet Sohi (Minister of Infrastructure and Communities, Lib.)",LIB,5,7,"Since doing that, we have approved 1,200 projects, with a combined investment of $14 billion. "
0000560,2016 09 23 9,0.102977,"Hon. Catherine McKenna (Minister of Environment and Climate Change, Lib.)",LIB,5,7,"The federal government, together with the provinces and territories, recognized in Vancouver that we need to come up with an ambitious plan for meeting our international obligations today and in the future."
0000426,2016 12 02 5,0.103490,"Mr. Richard Cannings (South Okanagan—West Kootenay, NDP)",NDP,4,4,"When will the government truly begin renegotiation talks, and will it ensure that local voices are heard at the table?"
0000419,2016 12 07 8,0.104718,"L’hon. Marc Garneau (ministre des Transports, Lib.)",LIB,5,7,I committed to work with him to see if we could speed up the process. 
0000705,2016 03 21 4,0.106911,"Hon. Maxime Bernier (Beauce, CPC)",CPC,6,3,When will the government understand that it is not fair to force small entrepreneurs to pay taxes to fund subsidies for a corporation like Bombardier?
0000814,2015 06 17 3,0.107261,"Right Hon. Stephen Harper (Prime Minister, CPC)",CPC,5,6,We have more money that is going into the pockets of our senior citizens and families.
0000902,2015 04 24 1,0.107315,"Mme Rosane Doré Lefebvre (Alfred-Pellan, NPD)",NDP,5,5,"Mr. Speaker, the Constitution states that for a senator to be appointed, “He shall be resident in the Province for which he is appointed.”"
0000658,2016 05 04 7,0.108981,"Hon. Chrystia Freeland (Minister of International Trade, Lib.)",LIB,6,3,Here is a news story: “The Conservative government has hired two former White House communications strategists as part of a 'sustained' effort to raise Canada's profile in”—
0000149,2017 10 02 8,0.110755,Xavier Barsalou-Duval,BQ,6,1,The Prime Minister always supports the winner when he wants to cloak himself in righteousness.
0000085,2017 11 02 4,0.111268,Peter Kent,CPC,7,1,"The Prime Minister is all but directly blaming the Ethics Commissioner, blaming the Ethics Commissioner for the finance minister's several inexcusable lapses of judgment and for the Prime Minister's own willingness to look the other way."
0000382,2017 02 02 1,0.112184,"Hon. Jane Philpott (Minister of Health, Lib.)",LIB,5,7,"We will work together to address the opioid crisis in a manner that is comprehensive, evidence-based, and responds to the needs of Canadians."
0000362,2017 02 10 1,0.112879,"Mr. Gérard Deltell (Louis-Saint-Laurent, CPC)",CPC,5,3,I do not really understand how they can see that as a good thing. 
0000910,2015 04 24 9,0.112976,"Ms. Roxanne James (Parliamentary Secretary to the Minister of Public Safety and Emergency Preparedness, CPC)",CPC,2,7,"Mr. Speaker, our government is focused on ensuring that our shared border is secure, while easing the flow of legitimate travel and trade."
0000786,2016 01 25 5,0.115157,"Mr. Joël Godin (Portneuf—Jacques-Cartier, CPC)",CPC,6,2,His call to the husband of one of the victims was not worthy of a prime minister.
0000554,2016 09 23 3,0.116003,"Mr. Joël Godin (Portneuf—Jacques-Cartier, CPC)",CPC,6,2,"Now that we know that the Prime Minister made a mistake when he authorized his friends' expenses, can the Minister of Foreign Affairs confirm that he also showed bad judgment?"
0000765,2016 02 02 4,0.119829,"Mr. James Bezan (Selkirk—Interlake—Eastman, CPC)",CPC,5,3,"Mr. Speaker, yesterday the defence minister said our past military activity was a mistake."
0000590,2016 06 10 9,0.121248,"Hon. Kent Hehr (Minister of Veterans Affairs and Associate Minister of National Defence, Lib.)",LIB,4,7,"What we have done is that when a veteran believes his claim has been incorrectly assessed, we have set up an independent review process, the Veterans Review and Appeal Board. "
0000414,2016 12 07 3,0.122886,"Hon. Candice Bergen (Portage—Lisgar, CPC)",CPC,6,2," Is there anyone on that side of the House who has the courage to stand up for what is right, and tell the Prime Minister to stop this corrupt fundraising?"
0000538,2016 10 03 7,0.123634,"Hon. Mélanie Joly (Minister of Canadian Heritage, Lib.)",LIB,5,5,"Mr. Speaker, Bill C-210 is an act to render the English version of O Canada gender neutral. "
0000629,2016 05 17 8,0.123857,"Ms. Pam Goldsmith-Jones (Parliamentary Secretary to the Minister of Foreign Affairs, Lib.)",LIB,5,6,"We did that in coordination with our allies, the U.S. and the EU, which is what makes them effective."
0000044,2017 11 28 3,0.124432,Candice Bergen,CPC,5,4,"However, 24 hours have passed and I am hoping the Prime Minister may have spoken with his finance minister."
0000812,2015 06 17 1,0.129185,"Mr. Justin Trudeau (Papineau, Lib.)",LIB,6,3,Why does the Prime Minister refuse to acknowledge the importance of having judges who understand our two official languages?
0001010,2015 02 05 9,0.129469,"Hon. Hedy Fry (Vancouver Centre, Lib.)",LIB,5,4,"Public health officers, health authorities, and municipalities have raised concerns with the minister."
0000246,2017 05 15 5,0.130699,Jane Phipott,LIB,5,7,We will make sure that we put the resources behind this and that we act with the urgency it deserves.
0000548,2016 09 28 7,0.131063,"Hon. Jane Philpott (Minister of Health, Lib.)",LIB,4,3,"Mr. Speaker, to compare the approach of this government with the approach of the previous Conservative government on the matter of federal-provincial-territorial relations on health is a misrepresentation of the facts."
0000568,2016 09 19 7,0.133423,"Hon. Jody Wilson-Raybould (Minister of Justice and Attorney General of Canada, Lib.)",LIB,4,7,"No decision has been made, but we are confident that we will appoint a diverse, functionally bilingual, high-calibre jurist to the Supreme Court of Canada."
0000867,2015 05 27 6,0.136035,"Ms. Anne Minh-Thu Quach (Beauharnois—Salaberry, NDP)",NDP,5,5," Mr. Speaker, I would just like to remind everyone that Canada Post made nearly $200 million in profits last year alone."
0000706,2016 03 21 5,0.136149,"Ms. Marjolaine Boutin-Sweet (Hochelaga, NDP)",NDP,6,3,What measures will the government take to fix these problems once and for all? These problems should not be happening in a country like ours.
0000766,2016 02 02 5,0.140404,"Hon. Peter Kent (Thornhill, CPC)",CPC,6,2,The MP for Etobicoke Centre called for lethal weapon aid for Ukraine.
0000183,2017 06 20 2,0.140464,Gerard Deltell,CPC,7,1,Wow. What a way to help society.
0000220,2017 06 06 9,0.140698,Chrystia Freeland,LIB,5,5,"We condemn, in absolute terms, the human rights abuses of Canadians and all people anywhere in the world."
0000853,2015 06 01 2,0.140905,"Hon. John McCallum (Markham—Unionville, Lib.)",LIB,5,3,"This government introduced voluntary savings plans, but Canadians still do not have enough money for their retirement."
0000456,2016 11 21 5,0.142462,"Ms. Rachel Blaney (North Island—Powell River, NDP)",NDP,6,3,Why is it so determined to sell it off?
0000712,2016 03 09 1,0.145312,"Hon. Rona Ambrose (Leader of the Opposition, CPC)",CPC,7,3,"Mr. Speaker, tonight, the Prime Minister is going to be in Washington with his pals at the Center for American Progress. "
0000442,2016 11 24 1,0.145457,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",LIB,5,5,"In fact, I would refer to, whether it is the New Democrats, or the Conservatives, where they have had to pay back monies."
0000299,2017 04 07 8,0.145563,"Mr. Martin Shields (Bow River, CPC)",CPC,5,5,"Eighty-two per cent of grain farmers depend on this tax deferral to help them mitigate uncertainties in grain farming, which can change greatly from year to year."
0000303,2017 03 23 2,0.146320,"Hon. Bardish Chagger (Leader of the Government in the House of Commons and Minister of Small Business and Tourism, Lib.)",LIB,4,6,"Mr. Speaker, the discussion paper that I shared with members of Parliament as well as Canadians was to encourage us to have a conversation, a discussion. "
0000895,2015 04 29 4,0.146343,"Mr. James Bezan (Parliamentary Secretary to the Minister of National Defence, CPC)",CPC,5,6,"As to the Auditor General's report, National Defence accepts all the recommendations from the Auditor General's investigation. "
0000627,2016 05 17 6,0.149230,"Mr. Jean Rioux (Saint-Jean, Lib.)",LIB,5,8,"Since being elected, I have worked very hard, as my colleagues can attest, to achieve full independence for the Royal Military College Saint-Jean with respect to university teaching, thereby promoting the use of French, one of the pillars of our Canadian identity."
0000693,2016 04 11 2,0.149345,"Hon. Dominic LeBlanc (Leader of the Government in the House of Commons, Lib.)",LIB,6,2,"As I have said on previous occasions, nobody on this side of the House has gone to prison for illegal fundraising, and that is something they are having trouble saying over there."
0000155,2017 09 27 4,0.149381,Justin Trudeau,LIB,8,1,"Mr. Speaker, the only distortions are the ones brought forward by the member opposite, who is trying to scare small business owners and torque an issue to defend the approach the Conservatives have always taken of benefiting the wealthy and ignoring the hard-working Canadians who will work every day to build this country."
0000031,2017 12 01 0,0.149467,Maximme Bernier,CPC,7,3,He does not even consult Canadians about his measures—
0000416,2016 12 07 5,0.150490,"Hon. MaryAnn Mihychuk (Minister of Employment, Workforce Development and Labour, Lib.)",LIB,2,8,"Mr. Speaker, I am proud to put on the record that, in fact, we have invested $165 million in the youth employment strategy; $73 million in work-integrated learning, giving young people the chance to get the skills they need; $85 million in union-based training; $175 million in transfers to the provinces for training; and $1.5 billion to increase Canada students grants."
0000637,2016 05 12 6,0.152213,"Hon. Dominic LeBlanc (Leader of the Government in the House of Commons, Lib.)",LIB,6,5,Every dollar spent on that trip was worth it for Canadians.
0000201,2017 06 09 0,0.153332,Navdeep Bains,LIB,5,7,We never have and we never will compromise our national security.
0000945,2015 03 24 4,0.153376,"Hon. Kerry-Lynne D. Findlay (Minister of National Revenue, CPC)",CPC,3,7," The CRA has taken concrete measures to strengthen privacy management, as recommended by the PC, by implementing a CRA directorate responsible for CRA policy and assessment procedures, a proactive training program to ensure CRA employees are fully informed of their duties to protect the privacy of Canadians and by revising security and privacy related processes."
0000794,2015 12 09 3,0.153651,"Mr. Phil McColeman (Brantford—Brant, CPC)",LIB,5,6," Mr. Speaker, the Liberals promised Canadians a revenue-neutral tax cut, made possible by taxing high earners."
0000801,2015 12 07 0,0.154300,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,5,6,"We will remain engaged in terms of our military, but we are withdrawing our fighter jets."
0000852,2015 06 01 1,0.156685,"L’hon. Bernard Valcourt (ministre des Affaires autochtones et du développement du Nord canadien, PCC)",CPC,5,6,"Mr. Speaker, I believe that the report will show that we have made a significant effort to improve the situation for first nations members and aboriginal people across Canada."
0000919,2015 04 21 8,0.157758,"Mr. Louis Plamondon (Bas-Richelieu—Nicolet—Bécancour, BQ)",BQ,7,3," Mr. Speaker, after investing in Churchill Falls, which will be in direct competition with Hydro-Québec and Quebec's revenues, after imposing a toll on the new Champlain Bridge and after condoning the comments of a member who said he was fed up with the National Assembly's unanimous declarations, now the federal government is once again taking unilateral action with its reform of the temporary foreign worker program, despite repeated requests from Quebec's labour minister."
0000744,2016 02 18 3,0.158525,"Hon. Navdeep Bains (Minister of Innovation, Science and Economic Development, Lib.)",LIB,2,7,"Mr. Speaker, this government has a plan, and we articulated that plan during the campaign."
0000941,2015 03 24 0,0.158943,"Right Hon. Stephen Harper (Prime Minister, CPC)",CPC,5,4,"This group, the so-called Islamic State, represents a direct threat not just to the region."
0000120,2017 10 20 9,0.159686,Rodger Cuzner,LIB,3,7,Helping newcomers get their foreign credentials recognized faster will allow them to join the Canadian workforce faster.
0000785,2016 01 25 4,0.159845,"Hon. Jim Carr (Minister of Natural Resources, Lib.)",LIB,4,6,"That is the way we develop public confidence, and that is exactly what we are doing."
0000279,2017 05 02 8,0.161078,"Mr. Xavier Barsalou-Duval (Pierre-Boucher—Les Patriotes—Verchères, BQ)",BQ,5,7,"Mr. Speaker, the National Assembly unanimously adopted Martine Ouellet's motion to remind the federal government that supporting agriculture, including Quebec's dairy industry and our family farm system, means maintaining supply management. "
