Label,Shuffle,Speaker,Party,Activation,Sentiment,englishHansard
0000730,0.026404,"Ms. Karina Gould (Parliamentary Secretary to the Minister of International Development, Lib.)",LIB,4,6,Canada made an initial contribution through the emergency disaster assistance fund to support the Red Cross emergency relief operation.
0000567,0.026863,"Hon. Rob Nicholson (Niagara Falls, CPC)",CPC,5,6,It is also the fair thing to do.
0000546,0.027459,"Mr. Blaine Calkins (Red Deer—Lacombe, CPC)",CPC,4,5,"He also stated that they go over, extensively, the personalized cash payouts with each employee."
0000524,0.027633,"Hon. John McCallum (Minister of Immigration, Refugees and Citizenship, Lib.)",LIB,6,3,"Citizenship is an extraordinary privilege, and those who seek to obtain it improperly will be gone after."
0000481,0.027835,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,7,6,"Mr. Speaker, as the member opposite well knows, I spend a tremendous amount of time working hard for Canadians right across the country, meeting with them, meeting with crowds, meeting with individuals, listening to consumer groups, listening to small businesses, engaging with Canadians right across the country, and I will continue to do so, as will the members of our cabinet."
0000770,0.028042,"Hon. Judy Foote (Minister of Public Services and Procurement, Lib.)",LIB,7,6,"Mr. Speaker, the government takes the health and safety of all of its workers seriously and, in fact, of any visitors to our buildings. "
0000596,0.029172,"Mr. François Choquette (Drummond, NDP)",NDP,7,3, Will the Liberals commit today to taking action to resolve this problem once and for all?
0000575,0.029398,"Ms. Tracey Ramsey (Essex, NDP)",NDP,8,2,Why are Liberals moving ahead with the damaging TPP without meaningful consultations with indigenous peoples in Canada?
0000455,0.031350,"Hon. Amarjeet Sohi (Minister of Infrastructure and Communities, Lib.)",LIB,7,4,"Mr. Speaker, while we are focused on creating jobs for the middle class and growing the economy for hard-working Canadians, what are the opposition members focused on? "
0000051,0.031832,Diane Lebouthillier,LIB,7,4," Mr. Speaker, no one is above the law and no one is interfering with the CRA's investigations."
0001000,0.032713,"Hon. Candice Bergen (Minister of State (Social Development), CPC)",CPC,4,7," Mr. Speaker, I would like to thank the member for Don Valley Eastfor the good work he is doing to support families in his riding."
0000872,0.033094,"L’hon. Pierre Poilievre (ministre de l’Emploi et du Développement social et ministre de la Réforme démocratique, PCC)",CPC,5,7," We will continue to cut taxes to achieve success, such as the 1.2 million new jobs created."
0000812,0.033388,"Mr. Justin Trudeau (Papineau, Lib.)",LIB,7,3,Why does the Prime Minister refuse to acknowledge the importance of having judges who understand our two official languages?
0000321,0.033425,"Hon. Bardish Chagger (Leader of the Government in the House of Commons and Minister of Small Business and Tourism, Lib.)",LIB,5,7,This government has committed to making more opportunities for under-represented groups. 
0000515,0.033638,"Hon. Bill Morneau (Minister of Finance, Lib.)",LIB,7,3,"Mr. Speaker, I would encourage the hon. member to speak to some of the Albertans that she is speaking about, because she would find that they have actually had a reduction in taxes this year, which has gone to help their families—"
0000873,0.034276,"Mr. Marc Garneau (Westmount—Ville-Marie, Lib.)",LIB,8,2,"When the employment minister uses taxpayer money for self-promotion videos to get re-elected and then has the gall to say that he is merely informing Canadians about government policy, it is like a slap in the face to all Canadians who expect accountability."
0000175,0.037365,Lawrence MacAulay,LIB,6,6,"Also, for the dairy farmer, my hon. colleague must be fully aware that we have invested $350 million to make sure that the agricultural sector is on the cutting edge: $100 million for the processing sector, and $250 million for the dairy farmers."
0001019,0.037740,"Mr. Chris Warkentin (Peace River, CPC)",CPC,8,2," Mr. Speaker, today we woke up to the horrendous news that Israel has once again been the target of terrorist attacks."
0000704,0.041105,"Mr. Ben Lobb (Huron—Bruce, CPC)",CPC,3,5,They just need a little longer runway.
0000924,0.041441,"Ms. Ève Péclet (La Pointe-de-l'Île, NDP)",NDP,6,3," The Information Commissioner was clear: “Although the Act was intended to shine a light on government decisions, it has become a shield against transparency and has encouraged a culture of delay.”"
0000534,0.042440,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,6,7,"I can highlight the Premier of Quebec, who just pointed out that our approach on carbon pricing respects provincial jurisdictions."
0000203,0.044357,Bardish Chagger,LIB,4,6,"We have put in a new process, an open, transparent, merit-based process. All positions that are available are posted online."
0000856,0.044779,"Hon. Joe Oliver (Minister of Finance, CPC)",CPC,5,4,"Mr. Speaker, this is a further indication of global economic uncertainty—"
0000867,0.044900,"Ms. Anne Minh-Thu Quach (Beauharnois—Salaberry, NDP)",NDP,6,7," Mr. Speaker, I would just like to remind everyone that Canada Post made nearly $200 million in profits last year alone."
0000727,0.045385,"Hon. Dominic LeBlanc (Leader of the Government in the House of Commons, Lib.)",LIB,6,3,What the member is obviously having trouble understanding is that the Conflict of Interest Act and the code that is applicable is applied by the independent Ethics Commissioner.
0000264,0.048211,"Hon. Karina Gould (Minister of Democratic Institutions, Lib.)",LIB,4,6,I encourage all parties in this place to do what they can for openness and transparency.
0000084,0.048263,Lisa Raitt,CPC,7,4,Is there a senior government official over there who will actually say that there is no other minister in the same position he put himself in?
0000372,0.048709,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,4,6,"We also increased the guaranteed income supplement by $1,000 for the most vulnerable seniors."
0000628,0.048718,"Hon. Jim Carr (Minister of Natural Resources, Lib.)",LIB,5,5,"Mr. Speaker, an independent group of distinguished western Canadians, all of whom will be known to those members, will, along with the regulator, assess the evidence that has been offered by Canadian people, evidence-based through the regulatory process, along with an assessment of upstream greenhouse gas emissions, along with meaningful consultation with indigenous communities, all of which must be in place if we are going to carry the confidence of Canadians."
0000504,0.048837,"Hon. Maryam Monsef (Minister of Democratic Institutions, Lib.)",LIB,5,5,We have heard from the 1.2 million Canadians who live abroad and wish to be part of our democratic institutions and participate in the voting process. 
0000190,0.050468,Ahmed Hussen,LIB,6,7,"As a government, we responded to the largest refugee crisis in half a century by admitting 40,000 Syrian refugees. "
0000638,0.050591,"Mr. Todd Doherty (Cariboo—Prince George, CPC)",CPC,6,7,"Mr. Speaker, it was the Conservative government that put an end to the longest and most costly trade disagreement in history with the softwood lumber agreement."
0000824,0.051744,"Mr. Mark Strahl (Parliamentary Secretary to the Minister of Aboriginal Affairs and Northern Development, CPC)",CPC,6,7,"It was our Prime Minister who set up the Truth and Reconciliation Commission, which reported just last week."
0000386,0.052715,"Hon. Amarjeet Sohi (Minister of Infrastructure and Communities, Lib.)",LIB,4,6,"Since doing that, we have approved 1,200 projects, with a combined investment of $14 billion. "
0000791,0.053132,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,4,6,"We encourage all members in the House to do that because it is a reflection of what Canadians asked for right across the country: investments in our future and in our communities, and help for the middle class by lowering taxes on the middle class and raising them for the wealthiest 1%."
0000932,0.055599,"Ms. Roxanne James (Parliamentary Secretary to the Minister of Public Safety and Emergency Preparedness, CPC)",CPC,6,3," I would like to remind the member opposite that we have a strong system of gun control in Canada, and our government has toughened laws and penalties for those who commit crimes with guns."
0000763,0.055853,"Hon. Lisa Raitt (Milton, CPC)",CPC,7,2,"Maybe the Liberals should check their snapshot when they came in November, because I am pretty sure it was in the black, not in the red, where they will drag it after the end of this fiscal year."
0000363,0.056399,"Mr. Murray Rankin (Victoria, NDP)",NDP,7,2,"The Prime Ministerpromised to change all that, and then he broke that promise."
0000136,0.061856,Earl Dreeshen,CPC,7,3,"Instead, they continually risk all they have to preserve the family farm."
0000009,0.062630,Alain Rayes,CON,6,3,"Mr. Speaker, the finance minister's main role is to manage finances, the money that Canadians worked hard to earn."
0000725,0.062935,"Hon. Catherine McKenna (Minister of Environment and Climate Change, Lib.)",LIB,6,7,"We need to take action on climate change, and we are going to take action, because it is the right thing to do, and it will also move us to a low carbon future, create new innovations, and new jobs."
0000496,0.063317,"Hon. Amarjeet Sohi (Minister of Infrastructure and Communities, Lib.)",LIB,5,7,"Mr. Speaker, I am proud of the unprecedented level of co-operation we have with the Federation of Canadian Municipalities and the big city mayors."
0000971,0.064039,"Mr. Robert Goguen (Parliamentary Secretary to the Minister of Justice, CPC)",CPC,4,5,"Canadians have diverse viewpoints on this, and our plan is to engage all Canadians in a consultation process that will take into consideration the diverse viewpoints of all Canadians in order to reach a conclusion that is acceptable to everyone."
0000961,0.065099,"Mr. Marc Garneau (Westmount—Ville-Marie, Lib.)",LIB,6,3," According to the CIBC's analysis, job quality in Canada is the lowest it has been in the 15 years that the bank has been collecting statistics."
0000390,0.065102,"Hon. Navdeep Bains (Minister of Innovation, Science and Economic Development, Lib.)",LIB,4,7,"Mr. Speaker, I would like to thank the member for again talking about the connect to innovate program."
0000899,0.065213,"Mr. Jasbir Sandhu (Surrey North, NDP)",NDP,7,2, Will the Conservatives stop making excuses and make funds available to protect the people in my community?
0000634,0.065612,"Hon. Maryam Monsef (Minister of Democratic Institutions, Lib.)",LIB,5,6,"This committee will be shaped by an important set of broad-based principles that include pursuing an effective and legitimate voting system which more accurately reflects Canadians' electoral wishes, a system that better engages all Canadians, one that fosters civility, consensus building, cohesion, an accessible system, one with integrity, and one that enhances the connection between representatives and their constituents."
0000035,0.066950,Matthew Dube,NDP,6,3,"Can the minister commit to come before the Standing Committee on Public Safety and National Security, and once again answer members' questions on this omnibus bill?"
0000192,0.068820,Thomas Mulcair,NDP,6,4," Mr. Speaker, I imagine the Prime Minister will have no trouble making public what the Americans did say in this case."
0000505,0.071456,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",LIB,7,5,"Madam Speaker, I will repeat that all members of Parliament and all parties fundraise, and we all abide by the exact same rules, rules that were put in place by the previous Harper government."
0000919,0.072587,"Mr. Louis Plamondon (Bas-Richelieu—Nicolet—Bécancour, BQ)",BQ,7,3," Mr. Speaker, after investing in Churchill Falls, which will be in direct competition with Hydro-Québec and Quebec's revenues, after imposing a toll on the new Champlain Bridge and after condoning the comments of a member who said he was fed up with the National Assembly's unanimous declarations, now the federal government is once again taking unilateral action with its reform of the temporary foreign worker program, despite repeated requests from Quebec's labour minister."
0000018,0.073865,Glen Motz,CPC,9,2,The government knows that hundreds of ISIS terrorists are returning after committing their atrocities like nothing ever happened.
0000530,0.074747,"Hon. Jim Carr (Minister of Natural Resources, Lib.)",LIB,6,3,"For the government to make a decision before it has gone through due process would be irresponsible, and we will not do it."
0000888,0.075858,"Mme Annick Papillon (Québec, NPD)",NDP,6,4,"Mr. Speaker, that was in the budget, but Quebec City is still waiting to see whether the 2017 Tall Ships Regatta will finally get the money they were promised. "
0000431,0.079131,"Hon. Thomas Mulcair (Outremont, NDP)",NDP,7,3,"Let us say that someone convinces us they will stand firm in order to get our support, but once they have our support, they reverse their position."
0000196,0.079187,Jenny Kwan,NDP,6,5,A little support from the government can prevent this organization from shutting its doors.
0000886,0.079633,"Mr. Emmanuel Dubourg (Bourassa, Lib.)",LIB,7,4," Mr. Speaker, there has been a great deal of concern in the Haitian community ever since the Conservative government lifted the moratorium on deportations to Haiti and Zimbabwe for over 3,500 people."
0000673,0.080581,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,6,7,"For the administrative steps that have followed, we are demonstrating government by cabinet, which means I have tremendous confidence in the ministers in our government to make the right decisions on files that cross their desks, and they do so with the full support of the prime minister, because that is why we put them in this job."
0000005,0.081492,Justin Trudeau,LIB,6,6,"We did not create the Phoenix problem, but we are going to fix it."
0000195,0.081567,Sean Casey,LIB,4,5,"Ms. Church has always been completely transparent about her former employer, including with the Conflict of Interest and Ethics Commissioner."
0000987,0.084111,"Mrs. Carol Hughes (Algoma—Manitoulin—Kapuskasing, NDP)",NDP,7,3," Will the minister recognize this crisis and work with these communities so they get the protection they need and deserve, or will the government continue to turn a blind eye and continue to put people at risk?"
0000659,0.085445,"Mr. Blaine Calkins (Red Deer—Lacombe, CPC)",CPC,7,2,Why is she using government officials to cover up her personal vanity?
0000086,0.087150,Gerard Deltell,CPC,7,3,"The Liberal government is introducing a bill on access to information that would prevent the excellent work of journalists, people like Daniel Leblanc and others, from revealing things like the sponsorship scandal."
0000642,0.089319,"Mr. Gérard Deltell (Louis-Saint-Laurent, CPC)",CPC,7,3,"When the time came to meet the President of the United States, where was the Minister of Natural Resources?"
0000222,0.091080,Andrew Scheer,CPC,7,3,"First we learned about her donations to the Liberal Party and to the Prime Minister 's leadership campaign, and her private meeting with the Prime Minister's closest advisers."
0000633,0.091216,"Hon. Steven Blaney (Bellechasse—Les Etchemins—Lévis, CPC)",CPC,8,3,Is the minister trying to engage in some sort of political sleight-of-hand in order to lead Canadians astray?
0000813,0.091485,"Right Hon. Stephen Harper (Prime Minister, CPC)",CPC,7,4,"Mr. Speaker, once again, as those who have investigated this have said that I am neither a participant nor a witness to any of these events, there is absolutely no reason why I would be before the court."
0000327,0.091754,"Hon. Michelle Rempel (Calgary Nose Hill, CPC)",CPC,7,3,How much will the government pay in Canadian taxpayers' dollars to support its ill-fated refugee plan?
0000880,0.091943,"Mr. Gary Schellenberger (Perth—Wellington, CPC)",CPC,6,4,Can the Parliamentary Secretary to the Prime Minister update this House on what infrastructure initiative our government is launching to mark this occasion?
0000079,0.096269,Nathan Cullen,NDP,6,3,For years they fought against the release of the so-called tax gap in Canada.
0000682,0.096334,"Mr. Chris Warkentin (Grande Prairie—Mackenzie, CPC)",CPC,7,4,Will the minister extend these provisions that the farm families desperately need?
0000206,0.097696,Rim Rudd,LIB,7,7," Mr. Speaker, our support for the energy sector reflects a balanced approach that ensures the environment is protected and that good, well-paying jobs are created for Canadians."
0000702,0.100650,"Mr. François-Philippe Champagne (Parliamentary Secretary to the Minister of Finance, Lib.)",LIB,6,7,That is what Canadians expect of us and that is exactly what we will deliver tomorrow.
0000502,0.101284,"Hon. Bill Morneau (Minister of Finance, Lib.)",LIB,5,7,"We have made a number of decisions that are making a difference for people in Alberta, and across Canada: the tax decreases, which are helping them; the Canada child benefit, which helps nine out of ten families with more money in their pockets; and the changes to our employment insurance system, which makes a difference in softening the landing. "
0000370,0.103676,"Mr. Sean Casey (Parliamentary Secretary to the Minister of Canadian Heritage, Lib.)",LIB,5,7,"Members might ask “What Do You Mean?” Well, Drake, Justin Bieber, and The Weeknd are in the top 10 global recording artists of 2016. "
0000022,0.104370,Tracey Ramsey,NDP,5,5,Any trade deal must support Canadian jobs.
0000780,0.105349,"Hon. Maryam Monsef (Minister of Democratic Institutions, Lib.)",LIB,5,7,"The new independent, non-partisan, merit-based, open and transparent process we have introduced is in the capable hands of nine of eminent Canadians who make up the advisory board, individuals like Dr. Dawn Lavell-Harvard, president of the Native Women's Association of Canada. "
0000761,0.105762,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,6,6,"It is actually important to follow up on them, give the tools to get things done, and execute them responsibly."
0000751,0.107302,"Hon. K. Kellie Leitch (Simcoe—Grey, CPC)",CPC,7,3, Why does the government want to impose artificial limits on Canada's fight against terrorism?
0000627,0.111258,"Mr. Jean Rioux (Saint-Jean, Lib.)",LIB,5,6,"Since being elected, I have worked very hard, as my colleagues can attest, to achieve full independence for the Royal Military College Saint-Jean with respect to university teaching, thereby promoting the use of French, one of the pillars of our Canadian identity."
0000677,0.111480,"Mr. Jacques Gourde (Lévis—Lotbinière, CPC)",CPC,7,4,Mr. Lalonde was fired. What will happen to the Minister of International Trade?
0000216,0.112036,Michael Cooper,CPC,7,2,Every parent has a right to know if one of these predators is moving into his or her neighbourhood
0000607,0.114582,"Mr. Mark Strahl (Chilliwack—Hope, CPC)",CPC,6,3,"Mr. Speaker, the Ethics Commissioner has ruled that the new Minister of Fisheries, Oceans and the Canadian Coast Guard cannot have any dealings with the Irving family."
0000284,0.115433,"Mrs. Kelly Block (Carlton Trail—Eagle Creek, CPC)",CPC,7,3,To say that Canadians are shocked that these employees were previously cleared to work in secured areas would be an understatement.
0000498,0.116975,"Mr. Joël Godin (Portneuf—Jacques-Cartier, CPC)",CPC,6,4,but there has been no response from the Prime Minister.
0000462,0.118192,"Hon. Marie-Claude Bibeau (Minister of International Development and La Francophonie, Lib.)",LIB,4,6,"This is why, after conducting meaningful oversight and negotiating an agreement that includes robust control measures, I announced today that Canada is providing $25 million in funding to UNRWA for their security and development, but also for the stability of the region."
0000938,0.118474,"Ms. Charmaine Borg (Terrebonne—Blainville, NDP)",NDP,6,3,Canada Post is ignoring the diversity of municipalities.
0000134,0.118625,Sukh Dhaliwal,LIB,5,7," In my riding of Surrey—Newton, I am pleased that our government is supporting organizations, such as DIVERSEcity Community Resources Society, to help at-risk youth get the support they need to find and keep good jobs."
0000713,0.118935,"Hon. Rona Ambrose (Leader of the Opposition, CPC)",CPC,6,4, The Prime Minister was left with a surplus.
0000324,0.121069,"L’hon. Bardish Chagger (leader du gouvernement à la Chambre des communes et ministre de la Petite Entreprise et du Tourisme, Lib.)",LIB,6,6,"We are going to keep working for Canadians every day, and I encourage the member to work with us so that we can get more done together."
0000574,0.122084,"Ms. Tracey Ramsey (Essex, NDP)",NDP,6,4,"Liberals have promised to implement the UN Declaration on the Rights of Indigenous Peoples, which means prior and informed consent from indigenous peoples on all decisions that affect them. "
0000248,0.122981,James Bezan,CPC,6,3,"Why are the Liberals showing the defence policy review to President Trump first, before they show it to Canadians?"
0000457,0.125502,"Mr. Guy Caron (Rimouski-Neigette—Témiscouata—Les Basques, NDP)",NDP,4,4,"As Michael Sabia, a government adviser, has previously said, investors in this infrastructure bank will want to see a 7% to 9% return."
0000102,0.126632,Charlie Angus,NDP,8,2,"There is something fundamentally wrong in a nation where indigenous families have to give their children away, while we have a finance minister who cannot remember that he owns a villa in the south of France."
0000091,0.127261,Andrew Scheer,CPC,7,3,I have a very simple question. Will the Prime Minister tell us who those other ministers are?
0000172,0.127529,Gerard Deltell,CPC,7,2,"Perhaps the Prime Minister looked at himself in the mirror in the morning before he said that, but the reality is that for real Canadian entrepreneurs, for small business owners who support hundreds of thousands of Canadians, it is arrogance, it is contempt."
0000155,0.128936,Justin Trudeau,LIB,8,2,"Mr. Speaker, the only distortions are the ones brought forward by the member opposite, who is trying to scare small business owners and torque an issue to defend the approach the Conservatives have always taken of benefiting the wealthy and ignoring the hard-working Canadians who will work every day to build this country."
0000955,0.130726,"Hon. Jason Kenney (Minister of National Defence and Minister for Multiculturalism, CPC)",CPC,5,3,"The member, and all members, have my assurance that I will review the report closely and work with the Provost Marshal of the Canadian Armed Forces to make whatever changes are necessary to ensure that the totally unacceptable conduct that occurred in this matter does not repeat itself."
0000443,0.132962,"Mr. John Brassard (Barrie—Innisfil, CPC)",CPC,7,3,"Now we learn that the federal Liberals paid over $23,000 for public relations services for Kathleen Wynne's recent trip to Israel."
0000645,0.136397,"Mr. Darshan Singh Kang (Calgary Skyview, Lib.)",LIB,4,7,I know the Prime Minister and the ministers have announced numerous measures to help support the people and the region.
0000560,0.138329,"Hon. Catherine McKenna (Minister of Environment and Climate Change, Lib.)",LIB,5,6,"The federal government, together with the provinces and territories, recognized in Vancouver that we need to come up with an ambitious plan for meeting our international obligations today and in the future."
0000556,0.138904,Ms. Dianne L. Watts,CPC,6,4,Will the minister please tell Canadians exactly how many Liberal infrastructure projects have actual shovels in the ground and are under construction?
0000114,0.139963,John Brassard,CPC,7,3,"The Minister of Finance is responsible for the Canada-Barbados tax treaty, and Morneau Shepell has a subsidiary on that tiny island."
0000240,0.142317,Jane Philpott,LIB,6,7,The money that we are giving to the provinces and territories is enough to entirely clear that waiting list.
0000497,0.144657,"Hon. Pierre Poilievre (Carleton, CPC)",CPC,7,3,Why is the Prime Minister taxing away the opportunities of our youth?
0000104,0.145589,Pierre Nantel,NDP,7,2,"After 3,000 testimonials, 252 briefings, and 18 months of consultations, the Liberals refuse to listen to anyone, including the community, the experts, the deputy minister, and even the minister herself, according to the news."
0000540,0.146928,"Mr. Sean Casey (Parliamentary Secretary to the Minister of Justice and Attorney General of Canada, Lib.)",LIB,7,3,We know that the process used by the previous government was badly broken.
0000772,0.147043,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,6,3,Not only did Canadians vote against those policies in the last election but we will vote against those policies today in the House of Commons.
0000963,0.148481,"Mr. Charlie Angus (Timmins—James Bay, NDP)",NDP,7,3,"Let us stick on the issue here, because not only are Conservative insiders being subpoenaed, but last week we learned that a number of key Conservative MPs have been called to testify."
0000168,0.150518,Monique Pauze,BQ,7,2,"    If the Minister of Canadian Heritage is not interested in protecting and promoting culture, then what exactly is her role?"
0000085,0.151330,Peter Kent,CPC,7,2,"The Prime Minister is all but directly blaming the Ethics Commissioner, blaming the Ethics Commissioner for the finance minister's several inexcusable lapses of judgment and for the Prime Minister's own willingness to look the other way."
0000823,0.152365,"Mr. Jonathan Genest-Jourdain (Manicouagan, NDP)",NDP,6,3,"In this case, the federal government clearly lacks political will, and the provinces are the ones showing the way. For example, Quebec recognized that residential schools were a form of cultural genocide against aboriginal nations. "
0000670,0.153934,"M. Mario Beaulieu (La Pointe-de-l'Île, BQ)",BQ,7,2,Was it when the monarchy imposed the Act of Union in 1840 or Confederation in—
0000714,0.154527,"Hon. Denis Lebel (Lac-Saint-Jean, CPC)",CPC,6,7,"Mr. Speaker, after years of complacency by the former Liberal government, in 2006, our Conservative government signed a softwood lumber agreement with our American partners. "
0000686,0.155220,"Ms. Linda Duncan (Edmonton Strathcona, NDP)",NDP,7,3,When will the minister take real action on rail safety?
0000506,0.155327,Mr. Kevin Lamoureux,LIB,7,3,"Madam Speaker, we all understand that many members sitting on that side of the House—"
0000392,0.158450,"Hon. Thomas Mulcair (Outremont, NDP)",NDP,7,3,    What does the Prime Minister intend to do to provide ongoing assistance to the thousands of refugees who are now banned from the United States?
0000779,0.158681,"Hon. Diane Lebouthillier (Minister of National Revenue, Lib.)",LIB,4,7, During the election we campaigned on increasing the deduction for northern residents. It is a priority.
0000741,0.158811,"Hon. Rona Ambrose (Leader of the Opposition, CPC)",CPC,6,3,"Instead, the Prime Minister is refusing to support energy east."
0000361,0.159841,"Hon. Jean-Yves Duclos (Minister of Families, Children and Social Development, Lib.)",LIB,4,7,"One thing that is certainly well known is that we have put into place a reduction in middle-class taxes, benefiting nine million middle-class taxpayers, and increasing taxes on the top 1% of Canadians."
0000904,0.159976,"Hon. K. Kellie Leitch (Minister of Labour and Minister of Status of Women, CPC)",CPC,7,3,The NDP totally opposed all those things.
0000819,0.162560,"Ms. Christine Moore (Abitibi—Témiscamingue, NDP)",NDP,7,3,"Since then, not only have the Conservatives not followed Health Canada's recommendations, which would result in health care savings of $9 billion, but even worse they decided to abandon the regulations, which were expected in 2010."
0000144,0.162725,Christine Moore,NDP,,,"Les Anishinaabe de ma circonscription, qui attendent depuis longtemps, ont tellement mis d'espoir dans les paroles du premier ministre à la suite des travaux de la Commission de vérité et réconciliation."
0000879,0.163311,"Ms. Lise St-Denis (Saint-Maurice—Champlain, Lib.)",LIB,6,7,"Mr. Speaker, for 40 years Quebec Native Women has been standing up for abused aboriginal women."
0000836,0.163444,"Ms. Ève Péclet (La Pointe-de-l'Île, NDP)",NDP,7,3,"Mr. Speaker, what the member is refusing to say is that, when the scandal broke, the Prime Minister came to Mike Duffy's defence. "
0000549,0.165662,"Hon. Scott Brison (President of the Treasury Board, Lib.)",LIB,6,7,"Mr. Speaker, I am proud to recognize Right to Know Day."
0000239,0.165936,Jane Philpott,LIB,5,4,"We know that there are more than 500,000 young people in Canada who are on a waiting list to receive access to mental health care and services. "
0000227,0.166619,Karine Trudel,NDP,7,4,Hundreds of workers and their families demonstrated in the streets to make the government understand just how much of an impact U.S. countervailing duties have had on their jobs and the local economy.
0000328,0.167505,"Ms. Linda Lapointe (Rivière-des-Mille-Îles, Lib.)",LIB,5,7,"Mr. Speaker, on March 2, the Minister of International Development and La Francophonie said, “Sexual and reproductive health and rights are human rights."
