,IDMain,countedWords,date,english,floor,french,label,party,seconds,sentencePolarity,sentiment,speaker,timeStamp,wordPolaritySummed,youTube
10,2017 12 08 0,6,2017-12-08,He then raised it back up to 10.5%,He then raised it back up to 10.5%,0,11,CPC,3.17,0.028253620490431786,-0.028253620490431786,Pierre Poilievre,1M 25S,0.24590106135500328,https://youtu.be/6iOcS52-Ljw
11,2017 12 08 1,9,2017-12-08,Now small businesses are expected to have faith in the government's idea of “reasonable”. ,Now small businesses are expected to have faith in the government's idea of “reasonable”. ,0,12,CPC,7.01,0.04099970909633808,0.04099970909633808,Pierre Poilievre,1M 40S,0.31546430688883575,https://youtu.be/p4wadFvuA-Y
12,2017 12 08 2,14,2017-12-08,I hope that the measures will be introduced next week at the latest so we can debate them here in the House.,"On souhaite que ce soit déposé à tout le moins la semaine prochaine, pour qu'on puisse en débattre ici, à la Chambre.",1,13,CPC,4.14,0.10014329012067588,0.10014329012067588,Gerard Deltell,5M 13S,0.42275591848634325,https://youtu.be/xShVjekgA1k
13,2017 12 08 3,22,2017-12-08," Mr. Speaker, yesterday we learned that after the Liberals forced their visions for housing and health care on the provinces, they are now planning to change the equalization calculations, without even consulting the provinces.","Monsieur le Président, nous avons appris hier qu'après avoir imposé leur vision en matière de logement et de santé aux provinces, les libéraux planifient maintenant de changer la façon de calculer la péréquation, sans même avoir consulté les provinces.",1,14,NDP,11.41,0.302972059264513,-0.302972059264513,Marjolaine Boutin-Sweet,9M 38S,1.224400138781805,https://youtu.be/576VqCg2SWg
14,2017 12 08 4,19,2017-12-08,"Mr. Speaker, in Saskatchewan last weekend, the advance polls for the by-election in Battlefords—Lloydminster were taking place, yet there were no advance polls in any indigenous community. ","Mr. Speaker, in Saskatchewan last weekend, the advance polls for the by-election in Battlefords—Lloydminster were taking place, yet there were no advance polls in any indigenous community. ",0,15,NDP,12.01,0.2502250185581423,-0.2502250185581423,Sheri Benson,16M 25S,1.200917954567038,https://youtu.be/MyI7U-s_H-w
15,2017 12 08 5,13,2017-12-08,We have been working very hard over the past two years to make a number of benefits more flexible and more generous.,Nous avons travaillé très fort au cours des deux dernières années pour mettre en place une plus grande souplesse et une plus grande générosité pour plusieurs de nos prestations,1,16,LIB,6.54,0.5514325769618154,0.5514325769618154,Jean-Yves Duclos,18M 24S,0.7449304432874279,https://youtu.be/YA-nuh7C6bI
16,2017 12 08 6,17,2017-12-08,"Mr. Speaker, since day one, we have been challenging the government to make securing a new softwood agreement its number one trade priority.","Mr. Speaker, since day one, we have been challenging the government to make securing a new softwood agreement its number one trade priority.",0,17,CPC,8.01,0.01581693487241861,0.01581693487241861,Todd Doherty,29M 34S,0.7509266452730766,https://youtu.be/PLTtSaiqca0
17,2017 12 08 7,12,2017-12-08,The government knows that hundreds of ISIS terrorists are returning after committing their atrocities like nothing ever happened.,The government knows that hundreds of ISIS terrorists are returning after committing their atrocities like nothing ever happened.,0,18,CPC,6.47,0.912124467531352,-0.912124467531352,Glen Motz,35M 28S,1.0466342233620316,https://youtu.be/Hhq5EPlksJ0
18,2017 12 08 8,15,2017-12-08,"By increasing diversity, we bring different experiences, ideas, and perspectives to advance Canadian science, grow the economy, and improve the lives of Canadians.","By increasing diversity, we bring different experiences, ideas, and perspectives to advance Canadian science, grow the economy, and improve the lives of Canadians.",0,19,LIB,11.01,0.9894109055333371,0.9894109055333371,Kristy Duncan,38M 28S,1.1197155574004032,https://youtu.be/LGBTqrY3Y_A
19,2017 12 08 9,13,2017-12-08,"An inter-country adoption is often a long and complex process, and we understand the challenges that are faced by families. ","An inter-country adoption is often a long and complex process, and we understand the challenges that are faced by families. ",0,20,Lib,8.34,0.25762163935775917,-0.25762163935775917,Arif Virani,39M 36S,0.562238349596425,https://youtu.be/IYaMMnZETFg
20,2017 12 05 0,28,2017-12-05,"Mr. Speaker, once again, zero transparency from the government on whether it has decided to launch formal negotiations with China, just like the Prime Minister's trip to Vietnam where Canadians were left to wonder if the TPP negotiations were on the agenda or not.","Mr. Speaker, once again, zero transparency from the government on whether it has decided to launch formal negotiations with China, just like the Prime Minister's trip to Vietnam where Canadians were left to wonder if the TPP negotiations were on the agenda or not.",0,21,NDP,13.56,0.7784516554997286,-0.7784516554997286,Tracey Ramsey,9M 16S,1.4067303016854564,https://youtu.be/XyDqUdLGaJ8
21,2017 12 05 1,6,2017-12-05,Any trade deal must support Canadian jobs.,Any trade deal must support Canadian jobs.,0,22,NDP,2.53,0.19478812091983858,0.19478812091983858,Tracey Ramsey,9M 26S,0.3573839131942285,https://youtu.be/Q7DtrXjqeSY
22,2017 12 05 2,14,2017-12-05,"As a social worker and as Minister of National Revenue, I have always worked on behalf of the most vulnerable people.","Monsieur le Président, j'ai toujours travaillé pour les personnes les plus vulnérables comme travailleuse sociale et comme ministre du Revenu national.",1,23,LIB,7.15,0.2307170971658447,0.2307170971658447,Diane Lebouthillier,20M 19S,0.4933259231807564,https://youtu.be/qjDQRmdiqNQ
23,2017 12 05 3,21,2017-12-05,"Mr. Speaker, as I have said many times in this House, as I did yesterday after the decision was rendered, we will be announcing our pension-for-life option before this House rises.","Mr. Speaker, as I have said many times in this House, as I did yesterday after the decision was rendered, we will be announcing our pension-for-life option before this House rises.",0,24,LIB,10.5,0.008787853327313688,-0.008787853327313688,Seamus O'Regan,25M 37S,0.9007625980136383,https://youtu.be/nZhVWarvdno
24,2017 12 05 4,43,2017-12-05,"Mr. Speaker, volunteers play a crucial role in Canadian society. In my riding of Kingston and the Islands, organizations like Martha's Table and St. Vincent de Paul volunteer to help build healthy and socially inclusive communities, not just by their actions but by the spirit of generosity that motivates them to create, support, and sustain non-profit and charitable organizations.","Mr. Speaker, volunteers play a crucial role in Canadian society. In my riding of Kingston and the Islands, organizations like Martha's Table and St. Vincent de Paul volunteer to help build healthy and socially inclusive communities, not just by their actions but by the spirit of generosity that motivates them to create, support, and sustain non-profit and charitable organizations.",0,25,LIB,19.2,2.362722101791796,2.362722101791796,Mark Gerretsen,27M 27S,3.3101269884126463,https://youtu.be/V2RBC5xMgN4
25,2017 12 05 5,20,2017-12-05,"This year is a special year, because we are introducing Canada's volunteer awards for past and present winners who have given and will be giving their valuable time to support our communities.","This year is a special year, because we are introducing Canada's volunteer awards for past and present winners who have given and will be giving their valuable time to support our communities.",0,26,LIB,13.07,0.9684851987279088,0.9684851987279088,Jean-Yves Duclos,28M 20S,1.2769368727084451,https://youtu.be/8HO3DwtWp_g
26,2017 12 05 6,5,2017-12-05,How can the minister continue to mislead Canadians?,How can the minister continue to mislead Canadians?,0,27,CPC,3.27,0.1531881334605194,0.1531881334605194,Marilyn Gladu,29M 16S,0.4393502017337596,https://youtu.be/tr_aPhLBqyE
27,2017 12 05 7,14,2017-12-05,"We will do so based on the principle of fairness for everyone who receives the disability tax credit, regardless of their disability.","Nous le ferons par principe d'équité pour tous les bénéficiaires du crédit d'impôt pour personnes handicapées, peu importe leur handicap.",1,28,LIB,9.4,0.4310075723668497,0.4310075723668497,Diane Lebouthillier,29M 54S,0.6327621210197582,https://youtu.be/5gCAoCj6-F0
28,2017 12 05 8,9,2017-12-05,"Canada has created more than 600,000 jobs since October 2015","Canada has created more than 600,000 jobs since October 2015",0,29,LIB,5.11,0.08038572386638926,0.08038572386638926,Patty Hajdu,40M 13S,0.21916934200895155,https://youtu.be/wlLMRzdr93Y
29,2017 12 05 9,20,2017-12-05,"In terms of the timeline that it has taken, the interim gap that needs to be filled, Davie shipyard is building that interim capability gap, and we thank them for that service.","In terms of the timeline that it has taken, the interim gap that needs to be filled, Davie shipyard is building that interim capability gap, and we thank them for that service.",0,30,LIB,11.1,0.7558611487537356,0.7558611487537356,Harjitt S. Sajjan,47M 2S,1.1869226532289758,https://youtu.be/PQ41R-Ryp0c
30,2017 12 01 0,6,2017-12-01,He does not even consult Canadians about his measures—,Il ne consulte même pas les Canadiens en ce qui concerne ses mesures...,1,31,CPC,10.29,0.02621308408145391,0.02621308408145391,Maximme Bernier,5M 21S,0.2570774011713054,https://youtu.be/JLP9t8rCqBE
31,2017 12 01 1,12,2017-12-01,"Yesterday, the Liberals released the names of their picks for the positions of official languages and lobbying commissioner. ","Yesterday, the Liberals released the names of their picks for the positions of official languages and lobbying commissioner. ",0,32,NDP,5.39,0.0913985224074817,-0.0913985224074817,Ruth Ellen Brosseau,6M 8S,0.5732757678155654,https://youtu.be/45Wzzog4yf8
32,2017 12 01 2,10,2017-12-01,It seems to me that the government learned nothing from the Madeleine Meilleur fiasco.,NA Il me semble que le gouvernement n'a absolument rien appris avec le fiasco de la nomination de Madeleine Meilleur. ,1,33,NDP,6.33,0.46017949565845945,-0.46017949565845945,Ruth Ellen Brosseau,7M 24S,0.5907193679429059,https://youtu.be/IOkcCYQFwIE
33,2017 12 01 3,25,2017-12-01,"On another topic, yesterday, the Standing Committee on Public Safety and National Security met with the Minister of Public Safety only for one hour on a 138-page omnibus bill, Bill C-59.","Sur un autre sujet, hier, au Comité permanent de la sécurité publique et nationale, nous avons accueilli le ministre de la Sécurité publique pendant une heure seulement concernant un projet de loi omnibus de 138 pages, le projet de loi C-59.",1,34,NDP,12.06,0.10486452442793431,0.10486452442793431,Matthew Dube,8M 47S,1.1496199036191683,https://youtu.be/rIcv2j0FJfA
34,2017 12 01 4,18,2017-12-01,"Can the minister commit to come before the Standing Committee on Public Safety and National Security, and once again answer members' questions on this omnibus bill?",Est-ce que le ministre peut s'engager à venir au Comité permanent de la sécurité publique et nationale et répondre encore une fois aux questions des parlementaires sur ce projet de loi omnibus?,1,35,NDP,9.33,0.18436552529289793,0.18436552529289793,Matthew Dube,9M 19S,0.8175185009645897,https://youtu.be/dEN4NUW9yHI
35,2017 12 01 5,18,2017-12-01,"The committee proceedings are following detailed work that was done on the security and intelligence framework, and the most exhaustive consultations that happened on a national basis.","The committee proceedings are following detailed work that was done on the security and intelligence framework, and the most exhaustive consultations that happened on a national basis.",0,36,LIB,10.36,0.5986785472570254,0.5986785472570254,Mark Holland,11M 31S,1.320116622140631,https://youtu.be/1PZmhBySc6Y
36,2017 12 01 6,33,2017-12-01,"Mr. Speaker, I would also think that the some 20,000 children in my riding whose families receive more money through the Canada child benefit, which has lifted 300,000 kids out of poverty, would have the utmost confidence in the finance minister.","Mr. Speaker, I would also think that the some 20,000 children in my riding whose families receive more money through the Canada child benefit, which has lifted 300,000 kids out of poverty, would have the utmost confidence in the finance minister.",0,37,LIB,11.24,0.43716870658110046,0.43716870658110046,Joel Lightbound,18M 42S,1.3122591191895479,https://youtu.be/JCzEND6lKFM
37,2017 12 01 7,12,2017-12-01,Does the minister concede that this bill fails to end gender discrimination for all indigenous women?,Does the minister concede that this bill fails to end gender discrimination for all indigenous women?,0,38,NDP,7.29,0.15157723809534224,-0.15157723809534224,Sheila Malcolmson,19M 25S,0.48563365315827206,https://youtu.be/26jG_qIY9ec
38,2017 12 01 8,17,2017-12-01,"We are making historic amendments to this bill today, and we are remedying all sex-based inequities that have existed going back to 1869.","We are making historic amendments to this bill today, and we are remedying all sex-based inequities that have existed going back to 1869.",0,39,LIB,11.16,0.22826678021478336,-0.22826678021478336,Yvonne Jones,20M 6S,0.6098842994542792,https://youtu.be/VuFoldRTCEI
39,2017 12 01 9,18,2017-12-01,"According to Statistics Canada, in 2012, during the worst year of Stephen Harper's war on science, the federal government employed 37,000 scientists and researchers.","According to Statistics Canada, in 2012, during the worst year of Stephen Harper's war on science, the federal government employed 37,000 scientists and researchers.",0,40,LIB,8.52,0.29618069183093865,-0.29618069183093865,Kennedy Steward,27M 38S,1.0740836330504473,https://youtu.be/Z-GO0ple3xE
40,2017 11 28 0,9,2017-11-28,"The fact is we always focus on the security of Canadians, and we always will.","The fact is we always focus on the security of Canadians, and we always will.",0,41,LIB,5.53,0.21188725521122773,0.21188725521122773,Justin Trudeau,2M 26S,0.42127329975898775,https://youtu.be/M1QVQxPNTao
41,2017 11 28 1,22,2017-11-28,"Mr. Speaker, yesterday John Ivison indicated that he received some documents showing that the sale of the 680,000 shares by the minister would have happened on December 3","Mr. Speaker, yesterday John Ivison indicated that he received some documents showing that the sale of the 680,000 shares by the minister would have happened on December 3",0,42,CPC,14.44,0.2376989697201809,-0.2376989697201809,Pierre Poilievre,14M 42S,0.7720167609991874,https://youtu.be/Hcf7RTGZd7E
42,2017 11 28 2,12,2017-11-28,He also announced that he was donating to charity any difference in the value of those shares since the election.,Il a également annoncé qu'il donnait à des oeuvres de charité la différence en valeur des actions depuis l'élection.,1,43,CPC,6.34,0.26905320681232425,0.26905320681232425,Joel Lightbound,23M 7S,0.6035314104187168,https://youtu.be/gq9-p2Fzra0
43,2017 11 28 3,13,2017-11-28,"However, 24 hours have passed and I am hoping the Prime Minister may have spoken with his finance minister.","However, 24 hours have passed and I am hoping the Prime Minister may have spoken with his finance minister.",0,44,CPC,5.24,0.11145366961136455,-0.11145366961136455,Candice Bergen,23M 35S,0.47426180553988423,https://youtu.be/UUZnk8A9trw
44,2017 11 28 4,11,2017-11-28,Mr. Speaker our government is committed to creating open spaces for Canadians to debate and express their views.,Mr. Speaker our government is committed to creating open spaces for Canadians to debate and express their views.,0,45,LIB,6.41,0.4329480578266417,0.4329480578266417,Kristy Duncan,28M 11S,0.5746767294850932,https://youtu.be/GYHQCyQCa_g
45,2017 11 28 5,6,2017-11-28,My question is simple. Was that person the Minister of Finance?,La question est bien simple: est-ce que cette personne est bel et bien le ministre des Finances?,1,46,CPC,4.57,0.1447329298056762,-0.1447329298056762,Maxime Bernier,29M 31S,0.17623993098927063,https://youtu.be/YCXxVDwSvUA
46,2017 11 28 6,12,2017-11-28,"Under the Conservatives, not only was it taxable, but it was also sent to all families, regardless of income.","Sous les conservateurs, non seulement elle était imposable, mais elle était envoyée à toutes les familles, nonobstant leur revenu.",1,47,LIB,5.59,0.17330467093883534,-0.17330467093883534,Joel Lightbound,33M 32S,0.6831480754777398,https://youtu.be/8ADo99cLUuE
47,2017 11 28 7,14,2017-11-28," If the government did not know what it was doing when it implemented Phoenix, how can we expect it to fix this disaster?"," Si le gouvernement ne savait pas ce qu'il faisait lors de l'implantation de Phénix, comment pouvons-nous nous attendre à ce qu'il règle ce désastre? ",1,48,NDP,7.15,0.47872279464770273,-0.47872279464770273,Karine Trudel,35M 17S,0.8416105989111073,https://youtu.be/DQMelzJEwlc
48,2017 11 28 8,19,2017-11-28,"We support work-integrated learning, which is why we invested $221 million to create more workplace opportunities in science, technology, engineering, mathematics, and in business programs.","We support work-integrated learning, which is why we invested $221 million to create more workplace opportunities in science, technology, engineering, mathematics, and in business programs.",0,49,LIB,13.42,1.2030658767003584,1.2030658767003584,Navdeep Bains,40M 37S,1.4781958451317871,https://youtu.be/Mx4hSR3r9Q8
49,2017 11 28 9,8,2017-11-28,This is about creating good-quality jobs for students for today and tomorrow.,This is about creating good-quality jobs for students for today and tomorrow.,0,50,LIB,4.01,0.4844850571659793,0.4844850571659793,Navdeep Bains,40M 58S,0.6327219086399835,https://youtu.be/NCj-kfi_V00
50,2017 11 23 0,11,2017-11-23," Mr. Speaker, no one is above the law and no one is interfering with the CRA's investigations.","Monsieur le Président, nul n'est au-dessus des lois et personne ne s'ingère dans les investigations de l'Agence du revenu du Canada.",1,51,LIB,8.45,0.21119088049246265,-0.21119088049246265,Diane Lebouthillier,7M 30S,0.47851025348063564,https://youtu.be/_3xiboe9CZo
51,2017 11 23 1,39,2017-11-23,"The House can expect to see at least three different initiatives coming forward in the weeks and months immediately ahead, to establish a new policy framework, to provide a strategy that is geared to the 21st century, and a suite of initiatives that will ensure that Canada can be a leader in the forefront of the rest of the world.","The House can expect to see at least three different initiatives coming forward in the weeks and months immediately ahead, to establish a new policy framework, to provide a strategy that is geared to the 21st century, and a suite of initiatives that will ensure that Canada can be a leader in the forefront of the rest of the world.",0,52,LIB,21.18,1.090725610049309,1.090725610049309,Ralph Goodale,9M 45S,2.0157171120434736,https://youtu.be/TgoDj-iyQy4
52,2017 11 23 2,9,2017-11-23,"Mr. Speaker, yesterday, the Liberal government finally announced its housing strategy—","Mr. Speaker, yesterday, the Liberal government finally announced its housing strategy—",0,53,NDP,11.58,0.0027023203105532786,-0.0027023203105532786,Rachel Blaney,17M 6S,0.4305379006379683,https://youtu.be/bAOYmabgQUU
53,2017 11 23 3,20,2017-11-23,I appreciate the time the Minister of National Revenue and her parliamentary secretary took to meet with me to discuss the situation and to allow me to share the concerns I have heard.,I appreciate the time the Minister of National Revenue and her parliamentary secretary took to meet with me to discuss the situation and to allow me to share the concerns I have heard.,0,54,LIB,10.42,0.5545027705021701,0.5545027705021701,Sonia Sidhu,28M 18S,1.1562751888850469,https://youtu.be/iQqsBReAjWY
54,2017 11 23 4,16,2017-11-23,"By reinstating the committee, the agency will benefit from its advice about enhancing the quality and accessibility of the services it provides to persons with disabilities and their families.","En le rétablissant, l'Agence bénéficiera de conseils pour rehausser la qualité et l'accessibilité des services qu'elle offre aux personnes handicapées et à leur famille.",1,55,LIB,9.27,1.1162321366308394,1.1162321366308394,Diane Lebouthillier,29M 59S,1.1330253051798662,https://youtu.be/o_tlfQfHRGg
55,2017 11 23 5,27,2017-11-23,"Mr. Speaker, the objective of the Government of Canada is to surveil them and contain them to ensure that they do not harm more people, and indeed bring the full force of Canadian justice against them for fighting for a terrorist organization.","Mr. Speaker, the objective of the Government of Canada is to surveil them and contain them to ensure that they do not harm more people, and indeed bring the full force of Canadian justice against them for fighting for a terrorist organization.",0,56,LIB,15.05,0.4020714314039131,0.4020714314039131,Ralph Goodale,32M 16S,1.3878372569119426,https://youtu.be/7dXsh2HFZng
56,2017 11 23 6,6,2017-11-23,Why are seasonal workers still waiting for help?,Pourquoi les travailleurs et les travailleuses occupant un travail saisonnier doivent-ils encore attendre?,1,57,NDP,6.06,0.0598934649232043,-0.0598934649232043,Brigitte Sansoucy,34M 35S,0.2977299806204558,https://youtu.be/QSZIgyqm8n8
57,2017 11 23 7,13,2017-11-23,"We will never accept extreme proposals that harm the national interest, and I know Canadians are with us.","We will never accept extreme proposals that harm the national interest, and I know Canadians are with us.",0,58,LIB,8.51,0.07352703971056535,-0.07352703971056535,Chrystia Freeland,39M 44S,0.9670620307359578,https://youtu.be/WabHZxU7kBQ
58,2017 11 23 8,21,2017-11-23,The strategy includes a $2-billion small-ship construction program for competitive procurement among Davie and other Canadian shipyards other than the yards selected to build large vessels.," Comme il est énoncé dans la stratégie, un montant de 2 milliards de dollars pour la construction de petits navires est réservé pour l'attribution de contrats concurrentiels à la Davie et aux autres chantiers navals canadiens autres que les chantiers navals sélectionnés pour construire les grands navires.",1,59,LIB,16.27,0.8979825827658976,0.8979825827658976,Carla Qualtrough,41M 50S,1.1164129171354165,https://youtu.be/rdaXZJdXoSc
59,2017 11 23 9,11,2017-11-23,"According to the ICAO, there is no obligation to standardize the high-risk items not allowed on planes.","Selon l'OACI, il n'y a aucune obligation d'uniformisation concernant les articles à risque élevé dans les avions.",1,60,BQ,7.36,0.02808087287121453,-0.02808087287121453,Luc Theriault,45M 32S,0.3634563357211716,https://youtu.be/MRjj6F4Ihzk
60,2017 11 20 0,19,2017-11-20,"Mr. Speaker, I am proud of the work that all members of the House of Commons have done to help us welcome hundreds of Yazidi women and children.","Monsieur le Président, je suis fier du travail que tous les députés de la Chambre des communes ont fait pour s'assurer que nous pouvons accueillir des centaines de femmes et d'enfants yézidis.",1,61,LIB,9.26,0.8205498628750709,0.8205498628750709,Justin Trudeau,3M 2S,1.0660081354269224,https://youtu.be/FuIus9fpqY8
61,2017 11 20 1,20,2017-11-20,We will always work with her to ensure that Canadians can have confidence in the work she does and in the work we do in the House to be worthy of Canadians' trust.,Nous allons toujours travailler avec elle pour nous assurer que les Canadiens peuvent faire confiance au travail qu'elle fait et au travail que nous faisons tous à la Chambre pour être dignes de la confiance des Canadiens.,1,62,LIB,10.42,1.0248712856233135,1.0248712856233135,Justin Trudeau,4M 38S,1.2068057216061527,https://youtu.be/sSX2JIftvGI
62,2017 11 20 2,10,2017-11-20,We on this side of the House have faith in the integrity of the commissioner's work.,"De ce côté-ci de la Chambre, nous faisons confiance à l'intégrité et au travail de la commissaire.",1,63,LIB,6.34,0.1329267146065831,0.1329267146065831,Justin Trudeau,7M 41S,0.39161353897569434,https://youtu.be/g0_w_v0sAMA
63,2017 11 20 3,18,2017-11-20,"Mr. Speaker, the Liberal ethics saga continues, with even more information coming out about the finance minister's clear conflict of interest with Bill C-27. ","Mr. Speaker, the Liberal ethics saga continues, with even more information coming out about the finance minister's clear conflict of interest with Bill C-27. ",0,64,NDP,8.45,0.3615841458397751,-0.3615841458397751,Nathan Cullen,9M 3S,0.8409838283363829,https://youtu.be/b9lLAT9lOz4
64,2017 11 20 4,9,2017-11-20,"Mr. Speaker, as I have said, I will continue to work on behalf of Canadians. ","Mr. Speaker, as I have said, I will continue to work on behalf of Canadians. ",0,65,LIB,3.31,0.6648490863652634,0.6648490863652634,Bill Morneau,15M 15S,0.7587080827714607,https://youtu.be/aTJHvsZhhEI
65,2017 11 20 5,11,2017-11-20,"We have added nurse practitioners to complete the applications of their patients, and we have just started.","We have added nurse practitioners to complete the applications of their patients, and we have just started.",0,66,LIB,5.52,0.10031589330174034,0.10031589330174034,Kamal Khera,23M 41S,0.3927505209576339,https://youtu.be/aWTT0xXC1cI
66,2017 11 20 6,21,2017-11-20,"While the previous government spent $309 million on the systems, booked savings of $70 million a year, and let go of hundreds of employees in order to falsely balance its budget—","While the previous government spent $309 million on the systems, booked savings of $70 million a year, and let go of hundreds of employees in order to falsely balance its budget—",0,67,LIB,12.32,0.014732547387081598,-0.014732547387081598,Carla Qualtrough,24M 47S,0.7821896459874031,https://youtu.be/2GoyEv7NOR0
67,2017 11 20 7,10,2017-11-20,This government has no deadline and the number of public servants affected keeps going up. ,Ce gouvernement n'a aucun échéancier et le nombre de fonctionnaires touchés ne fait qu'augmenter.,1,68,NDP,6.34,0.17300082297463504,-0.17300082297463504,Brigitte Sansoucy,25M 58S,0.35242658846878583,https://youtu.be/AwdRImVU8YE
68,2017 11 20 8,34,2017-11-20,"While the Prime Minister defends his billionaire friends, he has already targeted Canadians suffering from diabetes, cut the danger pay of our troops fighting ISIS, and now has removed the allowances for ill and injured soldiers, all of this to pay for the Prime Minister's out of control spending.","While the Prime Minister defends his billionaire friends, he has already targeted Canadians suffering from diabetes, cut the danger pay of our troops fighting ISIS, and now has removed the allowances for ill and injured soldiers, all of this to pay for the Prime Minister's out of control spending.",0,69,CPC,14.31,1.123840605033495,-1.123840605033495,James Bezan,31M 6S,1.7903707324876446,https://youtu.be/EafQQLRpUUE
69,2017 11 20 9,11,2017-11-20,"Mr. Speaker, I wish that my hon. colleague read the document I published last week. ","Monsieur le Président, j'aurais voulu que mon collègue lise le document que j'ai publié la semaine dernière.",1,70,LIB,7.43,0.327953910731594,0.327953910731594,Marc Garneau,47M 9S,0.5414814768612685,https://youtu.be/OVeZiJ6sv98
70,2017 11 07 0,18,2017-11-07,"That is why, in the last two budgets, we invested nearly $1 billion, with which we hired auditors and have been targeting four jurisdictions per year","C'est pour cela que, dans les deux derniers budgets, nous avons investi près de 1 milliard de dollars, ce qui a permis l'embauche de vérificateurs et a permis de cibler quatre territoires par année.",1,71,LIB,12.26,0.10760360845077749,-0.10760360845077749,Diane Lebouthillier,9M 5S,0.6167890866418019,https://youtu.be/JfMVkNA_i2A
71,2017 11 07 1,16,2017-11-07,"Instead of hiding behind the bogus excuse that it felt legal anyway, we can roll up our sleeves and do something about it.","Instead of hiding behind the bogus excuse that it felt legal anyway, we can roll up our sleeves and do something about it.",0,72,NDP,7.29,0.8681991702012186,-0.8681991702012186,Guy Caron,10M 47S,1.3564076756592842,https://youtu.be/ZU_jNdO45do
