Label,Date,ID_main,youTube,timeStamp,Speaker,French,party,seconds,english,floor,preprocessed,svm_imdb,fasttext_imbd,fasttext_imbdWeight,svm_stanford,fasttext_stanford,fasttext_stanfordWeights,liwc,vader,svm_imdb_probability
11,2017-12-08,2017 12 08 0,https://youtu.be/6iOcS52-Ljw,1M 25S,Pierre Poilievre,0,CPC,3.17,He then raised it back up to 10.5%,He then raised it back up to 10.5%, raise 10.5,Positive,Positive,0.63888186,Positive,Positive,0.74548358,3.181818181818182,5.0,0.5222055534572914
12,2017-12-08,2017 12 08 1,https://youtu.be/p4wadFvuA-Y,1M 40S,Pierre Poilievre,0,CPC,7.01,Now small businesses are expected to have faith in the government's idea of “reasonable”. ,Now small businesses are expected to have faith in the government's idea of “reasonable”. ,now small business expect faith government 's idea reasonable   ,Negative,Negative,-0.71737939,Negative,Positive,0.80815369,2.4360795454545454,7.1075,0.24321920625518642
13,2017-12-08,2017 12 08 2,https://youtu.be/xShVjekgA1k,5M 13S,Gerard Deltell,1,CPC,4.14,I hope that the measures will be introduced next week at the latest so we can debate them here in the House.,"On souhaite que ce soit déposé à tout le moins la semaine prochaine, pour qu'on puisse en débattre ici, à la Chambre.", hope measure introduce week late debate house,Positive,Positive,0.9568674,Positive,Positive,0.92914039,4.219367588932807,7.202,0.6266597331076651
14,2017-12-08,2017 12 08 3,https://youtu.be/576VqCg2SWg,9M 38S,Marjolaine Boutin-Sweet,1,NDP,11.41," Mr. Speaker, yesterday we learned that after the Liberals forced their visions for housing and health care on the provinces, they are now planning to change the equalization calculations, without even consulting the provinces.","Monsieur le Président, nous avons appris hier qu'après avoir imposé leur vision en matière de logement et de santé aux provinces, les libéraux planifient maintenant de changer la façon de calculer la péréquation, sans même avoir consulté les provinces.",   mr. speaker yesterday learn liberals force vision housing health care province plan change equalization calculation consult province,Positive,Positive,0.59894383,Positive,Positive,0.55283582,3.8888888888888897,8.1845,0.6051886817055302
15,2017-12-08,2017 12 08 4,https://youtu.be/MyI7U-s_H-w,16M 25S,Sheri Benson,0,NDP,12.01,"Mr. Speaker, in Saskatchewan last weekend, the advance polls for the by-election in Battlefords—Lloydminster were taking place, yet there were no advance polls in any indigenous community. ","Mr. Speaker, in Saskatchewan last weekend, the advance polls for the by-election in Battlefords—Lloydminster were taking place, yet there were no advance polls in any indigenous community. ",mr. speaker saskatchewan weekend advance poll election battlefords lloydminster take place advance poll indigenous community   ,Negative,Positive,0.59370571,Negative,Positive,0.95743704,3.5576234788833214,5.0,0.27913606364274757
16,2017-12-08,2017 12 08 5,https://youtu.be/YA-nuh7C6bI,18M 24S,Jean-Yves Duclos,1,LIB,6.54,We have been working very hard over the past two years to make a number of benefits more flexible and more generous.,Nous avons travaillé très fort au cours des deux dernières années pour mettre en place une plus grande souplesse et une plus grande générosité pour plusieurs de nos prestations, work hard past year number benefit flexible generous,Negative,Positive,0.9413932,Negative,Positive,0.74426579,4.982847341337908,8.982,0.34431079874117987
17,2017-12-08,2017 12 08 6,https://youtu.be/PLTtSaiqca0,29M 34S,Todd Doherty,0,CPC,8.01,"Mr. Speaker, since day one, we have been challenging the government to make securing a new softwood agreement its number one trade priority.","Mr. Speaker, since day one, we have been challenging the government to make securing a new softwood agreement its number one trade priority.",mr. speaker day challenge government secure new softwood agreement number trade priority,Positive,Positive,0.94786257,Positive,Positive,0.94221145,4.808884297520661,8.6755,0.6559167128613949
18,2017-12-08,2017 12 08 7,https://youtu.be/Hhq5EPlksJ0,35M 28S,Glen Motz,0,CPC,6.47,The government knows that hundreds of ISIS terrorists are returning after committing their atrocities like nothing ever happened.,The government knows that hundreds of ISIS terrorists are returning after committing their atrocities like nothing ever happened.,the government know hundred isis terrorist return commit atrocity like happen,Negative,Positive,0.77059174,Negative,Negative,-0.80228329,4.421487603305786,3.75,0.3833527662606534
19,2017-12-08,2017 12 08 8,https://youtu.be/LGBTqrY3Y_A,38M 28S,Kristy Duncan,0,LIB,11.01,"By increasing diversity, we bring different experiences, ideas, and perspectives to advance Canadian science, grow the economy, and improve the lives of Canadians.","By increasing diversity, we bring different experiences, ideas, and perspectives to advance Canadian science, grow the economy, and improve the lives of Canadians.",by increase diversity bring different experience idea perspective advance canadian science grow economy improve life canadians,Positive,Positive,0.94965357,Positive,Positive,0.81131923,3.560606060606061,8.1845,0.7362932844841477
20,2017-12-08,2017 12 08 9,https://youtu.be/IYaMMnZETFg,39M 36S,Arif Virani,0,Lib,8.34,"An inter-country adoption is often a long and complex process, and we understand the challenges that are faced by families. ","An inter-country adoption is often a long and complex process, and we understand the challenges that are faced by families. ",an inter country adoption long complex process understand challenge face family   ,Positive,Positive,0.99082285,Positive,Positive,0.66359544,3.763858093126386,5.385999999999999,0.9030797620895781
21,2017-12-05,2017 12 05 0,https://youtu.be/XyDqUdLGaJ8,9M 16S,Tracey Ramsey,0,NDP,13.56,"Mr. Speaker, once again, zero transparency from the government on whether it has decided to launch formal negotiations with China, just like the Prime Minister's trip to Vietnam where Canadians were left to wonder if the TPP negotiations were on the agenda or not.","Mr. Speaker, once again, zero transparency from the government on whether it has decided to launch formal negotiations with China, just like the Prime Minister's trip to Vietnam where Canadians were left to wonder if the TPP negotiations were on the agenda or not.",mr. speaker zero transparency government decide launch formal negotiation china like prime minister 's trip vietnam canadians leave wonder tpp negotiation agenda,Negative,Negative,-0.81131566,Negative,Positive,0.57333666,3.4782608695652177,6.591,0.3952923605095229
22,2017-12-05,2017 12 05 1,https://youtu.be/Q7DtrXjqeSY,9M 26S,Tracey Ramsey,0,NDP,2.53,Any trade deal must support Canadian jobs.,Any trade deal must support Canadian jobs.,any trade deal support canadian job,Positive,Positive,0.99897528,Positive,Positive,0.62989503,4.545454545454546,7.009499999999999,0.7963741270864261
23,2017-12-05,2017 12 05 2,https://youtu.be/qjDQRmdiqNQ,20M 19S,Diane Lebouthillier,1,LIB,7.15,"As a social worker and as Minister of National Revenue, I have always worked on behalf of the most vulnerable people.","Monsieur le Président, j'ai toujours travaillé pour les personnes les plus vulnérables comme travailleuse sociale et comme ministre du Revenu national.",as social worker minister national revenue  work behalf vulnerable people,Negative,Positive,0.83361441,Negative,Positive,0.8794961,3.8356164383561646,3.8685,0.5841400149428679
24,2017-12-05,2017 12 05 3,https://youtu.be/nZhVWarvdno,25M 37S,Seamus O'Regan,0,LIB,10.5,"Mr. Speaker, as I have said many times in this House, as I did yesterday after the decision was rendered, we will be announcing our pension-for-life option before this House rises.","Mr. Speaker, as I have said many times in this House, as I did yesterday after the decision was rendered, we will be announcing our pension-for-life option before this House rises.",mr. speaker  say time house  yesterday decision render announce pension life option house rise,Negative,Positive,0.91473073,Negative,Positive,0.54155993,3.181818181818182,5.0,0.47155750672032304
25,2017-12-05,2017 12 05 4,https://youtu.be/V2RBC5xMgN4,27M 27S,Mark Gerretsen,0,LIB,19.2,"Mr. Speaker, volunteers play a crucial role in Canadian society. In my riding of Kingston and the Islands, organizations like Martha's Table and St. Vincent de Paul volunteer to help build healthy and socially inclusive communities, not just by their actions but by the spirit of generosity that motivates them to create, support, and sustain non-profit and charitable organizations.","Mr. Speaker, volunteers play a crucial role in Canadian society. In my riding of Kingston and the Islands, organizations like Martha's Table and St. Vincent de Paul volunteer to help build healthy and socially inclusive communities, not just by their actions but by the spirit of generosity that motivates them to create, support, and sustain non-profit and charitable organizations.",mr. speaker volunteer play crucial role canadian society in riding kingston islands organization like martha 's table st. vincent de paul volunteer help build healthy socially inclusive community action spirit generosity motivate create support sustain non profit charitable organization,Positive,Positive,0.90118468,Positive,Positive,0.94249392,4.84478935698448,9.879,0.6467206118478962
26,2017-12-05,2017 12 05 5,https://youtu.be/8HO3DwtWp_g,28M 20S,Jean-Yves Duclos,0,LIB,13.07,"This year is a special year, because we are introducing Canada's volunteer awards for past and present winners who have given and will be giving their valuable time to support our communities.","This year is a special year, because we are introducing Canada's volunteer awards for past and present winners who have given and will be giving their valuable time to support our communities.",this year special year introduce canada 's volunteer award past present winner give give valuable time support community,Positive,Positive,0.99335021,Positive,Positive,0.8916921,4.375000000000001,9.7065,0.8326596800227204
27,2017-12-05,2017 12 05 6,https://youtu.be/tr_aPhLBqyE,29M 16S,Marilyn Gladu,0,CPC,3.27,How can the minister continue to mislead Canadians?,How can the minister continue to mislead Canadians?,how minister continue mislead canadians,Negative,Negative,-0.91385925,Negative,Positive,0.7221238,3.181818181818182,5.0,0.10793426048965372
28,2017-12-05,2017 12 05 7,https://youtu.be/5gCAoCj6-F0,29M 54S,Diane Lebouthillier,1,LIB,9.4,"We will do so based on the principle of fairness for everyone who receives the disability tax credit, regardless of their disability.","Nous le ferons par principe d'équité pour tous les bénéficiaires du crédit d'impôt pour personnes handicapées, peu importe leur handicap.", base principle fairness receive disability tax credit regardless disability,Negative,Negative,-0.76206887,Negative,Positive,0.60971934,5.065789473684211,6.909,0.420198767262881
29,2017-12-05,2017 12 05 8,https://youtu.be/wlLMRzdr93Y,40M 13S,Patty Hajdu,0,LIB,5.11,"Canada has created more than 600,000 jobs since October 2015","Canada has created more than 600,000 jobs since October 2015","canada create 600,000 job october 2015",Positive,Positive,0.99415249,Positive,Negative,-0.57962102,4.437799043062202,6.3660000000000005,0.8286653368251309
30,2017-12-05,2017 12 05 9,https://youtu.be/PQ41R-Ryp0c,47M 2S,Harjitt S. Sajjan,0,LIB,11.1,"In terms of the timeline that it has taken, the interim gap that needs to be filled, Davie shipyard is building that interim capability gap, and we thank them for that service.","In terms of the timeline that it has taken, the interim gap that needs to be filled, Davie shipyard is building that interim capability gap, and we thank them for that service.",in term timeline take interim gap need fill davie shipyard build interim capability gap thank service,Positive,Positive,0.62893146,Positive,Negative,-0.50013471,4.5994599459946,6.806,0.6552034861682836
31,2017-12-01,2017 12 01 0,https://youtu.be/JLP9t8rCqBE,5M 21S,Maximme Bernier,1,CPC,10.29,He does not even consult Canadians about his measures—,Il ne consulte même pas les Canadiens en ce qui concerne ses mesures..., consult canadians measures—,Positive,Negative,-0.64691818,Positive,Negative,-0.89473414,3.181818181818182,5.0,0.5222055534572914
32,2017-12-01,2017 12 01 1,https://youtu.be/45Wzzog4yf8,6M 8S,Ruth Ellen Brosseau,0,NDP,5.39,"Yesterday, the Liberals released the names of their picks for the positions of official languages and lobbying commissioner. ","Yesterday, the Liberals released the names of their picks for the positions of official languages and lobbying commissioner. ",yesterday liberals release name pick position official language lobby commissioner   ,Positive,Positive,0.93325335,Positive,Positive,0.62977439,2.620320855614974,5.1290000000000004,0.8673085965502985
33,2017-12-01,2017 12 01 2,https://youtu.be/IOkcCYQFwIE,7M 24S,Ruth Ellen Brosseau,1,NDP,6.33,It seems to me that the government learned nothing from the Madeleine Meilleur fiasco.,NA Il me semble que le gouvernement n'a absolument rien appris avec le fiasco de la nomination de Madeleine Meilleur. , government learn madeleine meilleur fiasco,Positive,Positive,0.89398807,Positive,Positive,0.53679168,2.071881606765328,2.4469999999999996,0.7211946151783557
34,2017-12-01,2017 12 01 3,https://youtu.be/rIcv2j0FJfA,8M 47S,Matthew Dube,1,NDP,12.06,"On another topic, yesterday, the Standing Committee on Public Safety and National Security met with the Minister of Public Safety only for one hour on a 138-page omnibus bill, Bill C-59.","Sur un autre sujet, hier, au Comité permanent de la sécurité publique et nationale, nous avons accueilli le ministre de la Sécurité publique pendant une heure seulement concernant un projet de loi omnibus de 138 pages, le projet de loi C-59.",on topic yesterday standing committee public safety national security meet    minister public safety    hour 138-page omnibus bill bill    c-59,Negative,Negative,-0.74073851,Negative,Negative,-0.52116841,5.518118245390973,8.953,0.436752460187307
35,2017-12-01,2017 12 01 4,https://youtu.be/dEN4NUW9yHI,9M 19S,Matthew Dube,1,NDP,9.33,"Can the minister commit to come before the Standing Committee on Public Safety and National Security, and once again answer members' questions on this omnibus bill?",Est-ce que le ministre peut s'engager à venir au Comité permanent de la sécurité publique et nationale et répondre encore une fois aux questions des parlementaires sur ce projet de loi omnibus?,can minister commit come standing committee public safety national security answer member question omnibus bill,Negative,Negative,-0.83804929,Negative,Negative,-0.53104997,4.901719901719903,8.753,0.2214135611435717
36,2017-12-01,2017 12 01 5,https://youtu.be/1PZmhBySc6Y,11M 31S,Mark Holland,0,LIB,10.36,"The committee proceedings are following detailed work that was done on the security and intelligence framework, and the most exhaustive consultations that happened on a national basis.","The committee proceedings are following detailed work that was done on the security and intelligence framework, and the most exhaustive consultations that happened on a national basis.",the committee proceeding follow detailed work security intelligence framework exhaustive consultation happen national basis,Negative,Negative,-0.65187776,Negative,Positive,0.53243351,4.3458980044345905,8.062000000000001,0.19475292391609647
37,2017-12-01,2017 12 01 6,https://youtu.be/JCzEND6lKFM,18M 42S,Joel Lightbound,0,LIB,11.24,"Mr. Speaker, I would also think that the some 20,000 children in my riding whose families receive more money through the Canada child benefit, which has lifted 300,000 kids out of poverty, would have the utmost confidence in the finance minister.","Mr. Speaker, I would also think that the some 20,000 children in my riding whose families receive more money through the Canada child benefit, which has lifted 300,000 kids out of poverty, would have the utmost confidence in the finance minister.","mr. speaker  think 20,000 child riding family receive money canada child benefit lift 300,000 kid poverty utmost confidence finance minister",Negative,Negative,-0.91158646,Negative,Positive,0.64653623,4.204545454545455,7.2940000000000005,0.237253461270815
38,2017-12-01,2017 12 01 7,https://youtu.be/26jG_qIY9ec,19M 25S,Sheila Malcolmson,0,NDP,7.29,Does the minister concede that this bill fails to end gender discrimination for all indigenous women?,Does the minister concede that this bill fails to end gender discrimination for all indigenous women?,do minister concede bill fail end gender discrimination indigenous woman,Negative,Negative,-0.99945468,Negative,Negative,-0.63283199,3.181818181818182,2.2885,0.0299598138844073
39,2017-12-01,2017 12 01 8,https://youtu.be/VuFoldRTCEI,20M 6S,Yvonne Jones,0,LIB,11.16,"We are making historic amendments to this bill today, and we are remedying all sex-based inequities that have existed going back to 1869.","We are making historic amendments to this bill today, and we are remedying all sex-based inequities that have existed going back to 1869.", make historic amendment bill today remedy sex base inequity exist go 1869,Positive,Positive,0.89733952,Positive,Positive,0.54831707,3.8267813267813273,5.0,0.8306620573693371
40,2017-12-01,2017 12 01 9,https://youtu.be/Z-GO0ple3xE,27M 38S,Kennedy Steward,0,LIB,8.52,"According to Statistics Canada, in 2012, during the worst year of Stephen Harper's war on science, the federal government employed 37,000 scientists and researchers.","According to Statistics Canada, in 2012, during the worst year of Stephen Harper's war on science, the federal government employed 37,000 scientists and researchers.","accord statistics canada 2012 bad year stephen harper 's war science federal government employ 37,000 scientist researcher",Negative,Negative,-0.97197205,Negative,Negative,-0.59258944,2.7906110283159467,0.937,0.10783356556987801
41,2017-11-28,2017 11 28 0,https://youtu.be/M1QVQxPNTao,2M 26S,Justin Trudeau,0,LIB,5.53,"The fact is we always focus on the security of Canadians, and we always will.","The fact is we always focus on the security of Canadians, and we always will.",the fact focus security canadians,Negative,Negative,-0.56021935,Negative,Negative,-0.66511154,4.62809917355372,6.7,0.14236809222666047
42,2017-11-28,2017 11 28 1,https://youtu.be/Hcf7RTGZd7E,14M 42S,Pierre Poilievre,0,CPC,14.44,"Mr. Speaker, yesterday John Ivison indicated that he received some documents showing that the sale of the 680,000 shares by the minister would have happened on December 3","Mr. Speaker, yesterday John Ivison indicated that he received some documents showing that the sale of the 680,000 shares by the minister would have happened on December 3","mr. speaker yesterday john ivison indicate receive document show sale 680,000 share minister happen december 3",Positive,Positive,0.5116657,Positive,Positive,0.56559789,4.483471074380166,6.48,0.7788681828654023
43,2017-11-28,2017 11 28 2,https://youtu.be/gq9-p2Fzra0,23M 7S,Joel Lightbound,1,CPC,6.34,He also announced that he was donating to charity any difference in the value of those shares since the election.,Il a également annoncé qu'il donnait à des oeuvres de charité la différence en valeur des actions depuis l'élection., announce donate charity difference value share election,Positive,Positive,0.54124188,Positive,Positive,0.99256271,7.443181818181819,8.753,0.6958513455632661
44,2017-11-28,2017 11 28 3,https://youtu.be/UUZnk8A9trw,23M 35S,Candice Bergen,0,CPC,5.24,"However, 24 hours have passed and I am hoping the Prime Minister may have spoken with his finance minister.","However, 24 hours have passed and I am hoping the Prime Minister may have spoken with his finance minister.",however 24 hour pass  hop prime minister speak finance minister,Negative,Negative,-0.9959814,Negative,Positive,0.58636749,3.181818181818182,5.0,0.14081029406535053
45,2017-11-28,2017 11 28 4,https://youtu.be/GYHQCyQCa_g,28M 11S,Kristy Duncan,0,LIB,6.41,Mr. Speaker our government is committed to creating open spaces for Canadians to debate and express their views.,Mr. Speaker our government is committed to creating open spaces for Canadians to debate and express their views.,mr. speaker government commit create open space canadians debate express view,Negative,Positive,0.74075502,Negative,Positive,0.59517145,3.801652892561984,7.553000000000001,0.42682117204774567
46,2017-11-28,2017 11 28 5,https://youtu.be/YCXxVDwSvUA,29M 31S,Maxime Bernier,1,CPC,4.57,My question is simple. Was that person the Minister of Finance?,La question est bien simple: est-ce que cette personne est bel et bien le ministre des Finances?, question simple be person minister finance,Positive,Positive,0.95905912,Positive,Positive,0.83202291,3.181818181818182,5.0,0.9568925464514374
47,2017-11-28,2017 11 28 6,https://youtu.be/8ADo99cLUuE,33M 32S,Joel Lightbound,1,LIB,5.59,"Under the Conservatives, not only was it taxable, but it was also sent to all families, regardless of income.","Sous les conservateurs, non seulement elle était imposable, mais elle était envoyée à toutes les familles, nonobstant leur revenu.",under conservatives taxable send family regardless income,Positive,Positive,0.88492864,Positive,Positive,0.87369001,3.181818181818182,5.0,0.5602124431190036
48,2017-11-28,2017 11 28 7,https://youtu.be/DQMelzJEwlc,35M 17S,Karine Trudel,1,NDP,7.15," If the government did not know what it was doing when it implemented Phoenix, how can we expect it to fix this disaster?"," Si le gouvernement ne savait pas ce qu'il faisait lors de l'implantation de Phénix, comment pouvons-nous nous attendre à ce qu'il règle ce désastre? ",   if government know implement phoenix expect fix disaster,Negative,Positive,0.63038498,Negative,Negative,-0.63665926,3.181818181818182,1.8755,0.17343418810295452
49,2017-11-28,2017 11 28 8,https://youtu.be/Mx4hSR3r9Q8,40M 37S,Navdeep Bains,0,LIB,13.42,"We support work-integrated learning, which is why we invested $221 million to create more workplace opportunities in science, technology, engineering, mathematics, and in business programs.","We support work-integrated learning, which is why we invested $221 million to create more workplace opportunities in science, technology, engineering, mathematics, and in business programs.", support work integrate learning invest $ 221 million create workplace opportunity science technology engineering mathematic business program,Positive,Positive,0.57642877,Positive,Positive,0.74142545,3.8588007736943912,8.825000000000001,0.6291238863636313
50,2017-11-28,2017 11 28 9,https://youtu.be/NCj-kfi_V00,40M 58S,Navdeep Bains,0,LIB,4.01,This is about creating good-quality jobs for students for today and tomorrow.,This is about creating good-quality jobs for students for today and tomorrow.,this create good quality job student today tomorrow,Positive,Positive,0.99996507,Positive,Positive,0.88136286,5.9893048128342254,8.062000000000001,0.9909692005754376
51,2017-11-23,2017 11 23 0,https://youtu.be/_3xiboe9CZo,7M 30S,Diane Lebouthillier,1,LIB,8.45," Mr. Speaker, no one is above the law and no one is interfering with the CRA's investigations.","Monsieur le Président, nul n'est au-dessus des lois et personne ne s'ingère dans les investigations de l'Agence du revenu du Canada.",   mr. speaker law interfere cra 's investigation,Negative,Negative,-0.54492325,Negative,Positive,0.67664707,3.181818181818182,5.0,0.35977123153923724
52,2017-11-23,2017 11 23 1,https://youtu.be/TgoDj-iyQy4,9M 45S,Ralph Goodale,0,LIB,21.18,"The House can expect to see at least three different initiatives coming forward in the weeks and months immediately ahead, to establish a new policy framework, to provide a strategy that is geared to the 21st century, and a suite of initiatives that will ensure that Canada can be a leader in the forefront of the rest of the world.","The House can expect to see at least three different initiatives coming forward in the weeks and months immediately ahead, to establish a new policy framework, to provide a strategy that is geared to the 21st century, and a suite of initiatives that will ensure that Canada can be a leader in the forefront of the rest of the world.",the house expect different initiative come forward week month immediately ahead establish new policy framework provide strategy gear 21st century suite initiative ensure canada leader forefront rest world,Positive,Positive,0.96449977,Positive,Positive,0.90029848,2.9478609625668453,6.909,0.7416892533511645
53,2017-11-23,2017 11 23 2,https://youtu.be/bAOYmabgQUU,17M 6S,Rachel Blaney,0,NDP,11.58,"Mr. Speaker, yesterday, the Liberal government finally announced its housing strategy—","Mr. Speaker, yesterday, the Liberal government finally announced its housing strategy—",mr. speaker yesterday liberal government finally announce housing strategy—,Negative,Positive,0.59392983,Negative,Positive,0.90678394,2.545454545454546,5.0,0.4114874895878111
54,2017-11-23,2017 11 23 3,https://youtu.be/iQqsBReAjWY,28M 18S,Sonia Sidhu,0,LIB,10.42,I appreciate the time the Minister of National Revenue and her parliamentary secretary took to meet with me to discuss the situation and to allow me to share the concerns I have heard.,I appreciate the time the Minister of National Revenue and her parliamentary secretary took to meet with me to discuss the situation and to allow me to share the concerns I have heard., appreciate time minister national revenue parliamentary secretary take meet discuss situation allow share concern  hear,Positive,Positive,0.99471241,Positive,Positive,0.86257792,3.579545454545455,8.5015,0.9714787596479584
55,2017-11-23,2017 11 23 4,https://youtu.be/o_tlfQfHRGg,29M 59S,Diane Lebouthillier,1,LIB,9.27,"By reinstating the committee, the agency will benefit from its advice about enhancing the quality and accessibility of the services it provides to persons with disabilities and their families.","En le rétablissant, l'Agence bénéficiera de conseils pour rehausser la qualité et l'accessibilité des services qu'elle offre aux personnes handicapées et à leur famille.",by reinstate committee agency benefit advice enhance quality accessibility service provide person disability family,Positive,Positive,0.65895718,Positive,Positive,0.83623677,5.256916996047432,7.2940000000000005,0.600619128115946
56,2017-11-23,2017 11 23 5,https://youtu.be/7dXsh2HFZng,32M 16S,Ralph Goodale,0,LIB,15.05,"Mr. Speaker, the objective of the Government of Canada is to surveil them and contain them to ensure that they do not harm more people, and indeed bring the full force of Canadian justice against them for fighting for a terrorist organization.","Mr. Speaker, the objective of the Government of Canada is to surveil them and contain them to ensure that they do not harm more people, and indeed bring the full force of Canadian justice against them for fighting for a terrorist organization.",mr. speaker objective government canada surveil contain ensure harm people bring force canadian justice fight terrorist organization,Negative,Positive,0.68170565,Negative,Positive,0.69248205,3.181818181818182,1.4985,0.3458059318748737
57,2017-11-23,2017 11 23 6,https://youtu.be/QSZIgyqm8n8,34M 35S,Brigitte Sansoucy,1,NDP,6.06,Why are seasonal workers still waiting for help?,Pourquoi les travailleurs et les travailleuses occupant un travail saisonnier doivent-ils encore attendre?,why seasonal worker wait help,Negative,Negative,-0.99385875,Negative,Negative,-0.6762045,3.181818181818182,7.009499999999999,0.15319184558652124
58,2017-11-23,2017 11 23 7,https://youtu.be/WabHZxU7kBQ,39M 44S,Chrystia Freeland,0,LIB,8.51,"We will never accept extreme proposals that harm the national interest, and I know Canadians are with us.","We will never accept extreme proposals that harm the national interest, and I know Canadians are with us.", accept extreme proposal harm national interest  know canadians,Positive,Positive,0.65420526,Positive,Positive,0.62096393,4.696969696969697,6.3660000000000005,0.6870606983917991
