"Label","Date","ID_main","youTube","timeStamp","Speaker","French","party","seconds","english","floor","lexiProcessed","sentiment_lsd","sentiment_jockers_rinker","sentiment_sentiwordnet","sentiment_huliu"
12,"2017-12-08","2017 12 08 1","https://youtu.be/p4wadFvuA-Y","1M 40S","Pierre Poilievre",0,"CPC","7.01","Now small businesses are expected to have faith in the government's idea of “reasonable”. ","Now small businesses are expected to have faith in the government's idea of “reasonable”. ","Now small businesses are expected to have faith in the government ' s idea of “reasonable” .",1,0.126860410698033,-0.282216713381161,0.2151514698493
13,"2017-12-08","2017 12 08 2","https://youtu.be/xShVjekgA1k","5M 13S","Gerard Deltell",1,"CPC","4.14","I hope that the measures will be introduced next week at the latest so we can debate them here in the House.","On souhaite que ce soit déposé à tout le moins la semaine prochaine, pour qu'on puisse en débattre ici, à la Chambre.","I hope that the measures will be introduced next week at the latest so we can debate them here in the House .",1,0.135927406858441,0.108291865767831,0
14,"2017-12-08","2017 12 08 3","https://youtu.be/576VqCg2SWg","9M 38S","Marjolaine Boutin-Sweet",1,"NDP","11.41"," Mr. Speaker, yesterday we learned that after the Liberals forced their visions for housing and health care on the provinces, they are now planning to change the equalization calculations, without even consulting the provinces.","Monsieur le Président, nous avons appris hier qu'après avoir imposé leur vision en matière de logement et de santé aux provinces, les libéraux planifient maintenant de changer la façon de calculer la péréquation, sans même avoir consulté les provinces.","Mr . Speaker , yesterday we learned that after the Liberals forced their visions for housing and health care on the provinces , they are now planning to change the equalization calculations , (without) not consulting the provinces .",0.333333333333333,0.07500151892092,-0.0692378627746124,0
15,"2017-12-08","2017 12 08 4","https://youtu.be/MyI7U-s_H-w","16M 25S","Sheri Benson",0,"NDP","12.01","Mr. Speaker, in Saskatchewan last weekend, the advance polls for the by-election in Battlefords—Lloydminster were taking place, yet there were no advance polls in any indigenous community. ","Mr. Speaker, in Saskatchewan last weekend, the advance polls for the by-election in Battlefords—Lloydminster were taking place, yet there were no advance polls in any indigenous community. ","Mr . Speaker , in Saskatchewan last weekend , the advance polls for the by - election in Battlefords—Lloydminster were taking place , yet there were (no) not advance polls in any indigenous community .",0.666666666666667,-0.050785283353089,-0.0506232929664392,0
16,"2017-12-08","2017 12 08 5","https://youtu.be/YA-nuh7C6bI","18M 24S","Jean-Yves Duclos",1,"LIB","6.54","We have been working very hard over the past two years to make a number of benefits more flexible and more generous.","Nous avons travaillé très fort au cours des deux dernières années pour mettre en place une plus grande souplesse et une plus grande générosité pour plusieurs de nos prestations","We have been working very hard over the past two years to make a number of benefits more flexible and more generous .",0.5,0.652331391289385,-0.0119627488223108,0.814961775962037
17,"2017-12-08","2017 12 08 6","https://youtu.be/PLTtSaiqca0","29M 34S","Todd Doherty",0,"CPC","8.01","Mr. Speaker, since day one, we have been challenging the government to make securing a new softwood agreement its number one trade priority.","Mr. Speaker, since day one, we have been challenging the government to make securing a new softwood agreement its number one trade priority.","Mr . Speaker , since day one , we have been challenging the government to make securing a new softwood agreement its number one trade priority .",0.333333333333333,0.0489860389730356,-0.0239752425609608,-0.205891048829198
18,"2017-12-08","2017 12 08 7","https://youtu.be/Hhq5EPlksJ0","35M 28S","Glen Motz",0,"CPC","6.47","The government knows that hundreds of ISIS terrorists are returning after committing their atrocities like nothing ever happened.","The government knows that hundreds of ISIS terrorists are returning after committing their atrocities like nothing ever happened.","The government knows that hundreds of ISIS terrorists are returning after committing their atrocities like (nothing) not happened .",-0.333333333333333,-0.0782021502082362,0.119615620603024,0
19,"2017-12-08","2017 12 08 8","https://youtu.be/LGBTqrY3Y_A","38M 28S","Kristy Duncan",0,"LIB","11.01","By increasing diversity, we bring different experiences, ideas, and perspectives to advance Canadian science, grow the economy, and improve the lives of Canadians.","By increasing diversity, we bring different experiences, ideas, and perspectives to advance Canadian science, grow the economy, and improve the lives of Canadians.","By increasing diversity , we bring different experiences , ideas , and perspectives to advance Canadian science , grow the economy , and improve the lives of Canadians .",1,0.282917978966584,-0.115876212804804,0.154090446411945
20,"2017-12-08","2017 12 08 9","https://youtu.be/IYaMMnZETFg","39M 36S","Arif Virani",0,"Lib","8.34","An inter-country adoption is often a long and complex process, and we understand the challenges that are faced by families. ","An inter-country adoption is often a long and complex process, and we understand the challenges that are faced by families. ","An inter - country adoption is often a long and complex process , and we understand the challenges that are faced by families .",0.333333333333333,0.0866371625075859,0.0109875810005556,0
21,"2017-12-05","2017 12 05 0","https://youtu.be/XyDqUdLGaJ8","9M 16S","Tracey Ramsey",0,"NDP","13.56","Mr. Speaker, once again, zero transparency from the government on whether it has decided to launch formal negotiations with China, just like the Prime Minister's trip to Vietnam where Canadians were left to wonder if the TPP negotiations were on the agenda or not.","Mr. Speaker, once again, zero transparency from the government on whether it has decided to launch formal negotiations with China, just like the Prime Minister's trip to Vietnam where Canadians were left to wonder if the TPP negotiations were on the agenda or not.","Mr . Speaker , once again , zero transparency from the government on whether it has decided to launch formal negotiations with China , just like the Prime Minister ' s trip to Vietnam where Canadians were left to wonder if the TPP negotiations were on the agenda or not .",1,0.0877346221432002,0.382441440526579,0.222368419772847
22,"2017-12-05","2017 12 05 1","https://youtu.be/Q7DtrXjqeSY","9M 26S","Tracey Ramsey",0,"NDP","2.53","Any trade deal must support Canadian jobs.","Any trade deal must support Canadian jobs.","Any trade deal must support Canadian jobs .",1,0.164091404384391,-0.209230819103847,0.2785
23,"2017-12-05","2017 12 05 2","https://youtu.be/qjDQRmdiqNQ","20M 19S","Diane Lebouthillier",1,"LIB","7.15","As a social worker and as Minister of National Revenue, I have always worked on behalf of the most vulnerable people.","Monsieur le Président, j'ai toujours travaillé pour les personnes les plus vulnérables comme travailleuse sociale et comme ministre du Revenu national.","As a social worker and as Minister of National Revenue , I have always worked on behalf of the most vulnerable people .",0,-0.117147366413723,-0.241444238926365,-0.172540725780267
24,"2017-12-05","2017 12 05 3","https://youtu.be/nZhVWarvdno","25M 37S","Seamus O'Regan",0,"LIB","10.5","Mr. Speaker, as I have said many times in this House, as I did yesterday after the decision was rendered, we will be announcing our pension-for-life option before this House rises.","Mr. Speaker, as I have said many times in this House, as I did yesterday after the decision was rendered, we will be announcing our pension-for-life option before this House rises.","Mr . Speaker , as I have said many times in this House , as I did yesterday after the decision was rendered , we will be announcing our pension - for - life option before this House rises .",NA,0.0410610059539497,-0.0649360495070442,0
25,"2017-12-05","2017 12 05 4","https://youtu.be/V2RBC5xMgN4","27M 27S","Mark Gerretsen",0,"LIB","19.2","Mr. Speaker, volunteers play a crucial role in Canadian society. In my riding of Kingston and the Islands, organizations like Martha's Table and St. Vincent de Paul volunteer to help build healthy and socially inclusive communities, not just by their actions but by the spirit of generosity that motivates them to create, support, and sustain non-profit and charitable organizations.","Mr. Speaker, volunteers play a crucial role in Canadian society. In my riding of Kingston and the Islands, organizations like Martha's Table and St. Vincent de Paul volunteer to help build healthy and socially inclusive communities, not just by their actions but by the spirit of generosity that motivates them to create, support, and sustain non-profit and charitable organizations.","Mr . Speaker , volunteers play a crucial role in Canadian society . In my riding of Kingston and the Islands , organizations like Martha ' s Table and St Vincent de Paul volunteer to help build healthy and socially inclusive communities , not by their actions but by the spirit of generosity that motivates them to create , support , and sustain (non) not - profit and charitable organizations .",1,-0.026251286880045,-0.00128004911313499,0.156812671333054
26,"2017-12-05","2017 12 05 5","https://youtu.be/8HO3DwtWp_g","28M 20S","Jean-Yves Duclos",0,"LIB","13.07","This year is a special year, because we are introducing Canada's volunteer awards for past and present winners who have given and will be giving their valuable time to support our communities.","This year is a special year, because we are introducing Canada's volunteer awards for past and present winners who have given and will be giving their valuable time to support our communities.","This year is a special year , because we are introducing Canada ' s volunteer awards for past and present winners who have given and will be giving their valuable time to support our communities .",1,0.448503582485076,0.0899617154522683,0.520154962414884
27,"2017-12-05","2017 12 05 6","https://youtu.be/tr_aPhLBqyE","29M 16S","Marilyn Gladu",0,"CPC","3.27","How can the minister continue to mislead Canadians?","How can the minister continue to mislead Canadians?","How can the minister continue to mislead Canadians ?",-1,-0.0299508063280886,-0.325636826022458,-0.348409675937063
28,"2017-12-05","2017 12 05 7","https://youtu.be/5gCAoCj6-F0","29M 54S","Diane Lebouthillier",1,"LIB","9.4","We will do so based on the principle of fairness for everyone who receives the disability tax credit, regardless of their disability.","Nous le ferons par principe d'équité pour tous les bénéficiaires du crédit d'impôt pour personnes handicapées, peu importe leur handicap.","We will do so based on the principle of fairness for everyone who receives the disability tax credit , regardless of their disability .",0.2,-0.149392941224071,-0.392526743653955,0.15753111076193
29,"2017-12-05","2017 12 05 8","https://youtu.be/wlLMRzdr93Y","40M 13S","Patty Hajdu",0,"LIB","5.11","Canada has created more than 600,000 jobs since October 2015","Canada has created more than 600,000 jobs since October 2015","Canada has created more than 600 , 000 jobs since October 2015",1,0,0,0
30,"2017-12-05","2017 12 05 9","https://youtu.be/PQ41R-Ryp0c","47M 2S","Harjitt S. Sajjan",0,"LIB","11.1","In terms of the timeline that it has taken, the interim gap that needs to be filled, Davie shipyard is building that interim capability gap, and we thank them for that service.","In terms of the timeline that it has taken, the interim gap that needs to be filled, Davie shipyard is building that interim capability gap, and we thank them for that service.","In terms of the timeline that it has taken , the interim gap that needs to be filled , Davie shipyard is building that interim capability gap , and we thank them for that service .",1,0.123046431586839,0.0603078103015122,0.260577481207442
31,"2017-12-01","2017 12 01 0","https://youtu.be/JLP9t8rCqBE","5M 21S","Maximme Bernier",1,"CPC","10.29","He does not even consult Canadians about his measures—","Il ne consulte même pas les Canadiens en ce qui concerne ses mesures...","He does not consult Canadians about his measures—",NA,0,-0.113225862761641,0
32,"2017-12-01","2017 12 01 1","https://youtu.be/45Wzzog4yf8","6M 8S","Ruth Ellen Brosseau",0,"NDP","5.39","Yesterday, the Liberals released the names of their picks for the positions of official languages and lobbying commissioner. ","Yesterday, the Liberals released the names of their picks for the positions of official languages and lobbying commissioner. ","Yesterday , the Liberals released the names of their picks for the positions of official languages and lobbying commissioner .",NA,0,0,0
33,"2017-12-01","2017 12 01 2","https://youtu.be/IOkcCYQFwIE","7M 24S","Ruth Ellen Brosseau",1,"NDP","6.33","It seems to me that the government learned nothing from the Madeleine Meilleur fiasco.","NA Il me semble que le gouvernement n'a absolument rien appris avec le fiasco de la nomination de Madeleine Meilleur. ","It seems to me that the government learned (nothing) not from the Madeleine Meilleur fiasco .",0,-0.274559406424705,-0.14824142424036,-0.263617030167717
34,"2017-12-01","2017 12 01 3","https://youtu.be/rIcv2j0FJfA","8M 47S","Matthew Dube",1,"NDP","12.06","On another topic, yesterday, the Standing Committee on Public Safety and National Security met with the Minister of Public Safety only for one hour on a 138-page omnibus bill, Bill C-59.","Sur un autre sujet, hier, au Comité permanent de la sécurité publique et nationale, nous avons accueilli le ministre de la Sécurité publique pendant une heure seulement concernant un projet de loi omnibus de 138 pages, le projet de loi C-59.","On another topic , yesterday , the Standing Committee on Public Safety and National Security met with the Minister of Public Safety only for one hour on a 138 - page omnibus bill , Bill C - 59 .",1,0.034066479597757,0.059750375635083,0
35,"2017-12-01","2017 12 01 4","https://youtu.be/dEN4NUW9yHI","9M 19S","Matthew Dube",1,"NDP","9.33","Can the minister commit to come before the Standing Committee on Public Safety and National Security, and once again answer members' questions on this omnibus bill?","Est-ce que le ministre peut s'engager à venir au Comité permanent de la sécurité publique et nationale et répondre encore une fois aux questions des parlementaires sur ce projet de loi omnibus?","Can the minister commit to come before the Standing Committee on Public Safety and National Security , and once again answer members ' questions on this omnibus bill ?",1,0.0630575812539912,0.228544873582568,0
36,"2017-12-01","2017 12 01 5","https://youtu.be/1PZmhBySc6Y","11M 31S","Mark Holland",0,"LIB","10.36","The committee proceedings are following detailed work that was done on the security and intelligence framework, and the most exhaustive consultations that happened on a national basis.","The committee proceedings are following detailed work that was done on the security and intelligence framework, and the most exhaustive consultations that happened on a national basis.","The committee proceedings are following detailed work that was done on the security and intelligence framework , and the most exhaustive consultations that happened on a national basis .",0,0.084042078420903,0.268949587978672,0.28359216785561
37,"2017-12-01","2017 12 01 6","https://youtu.be/JCzEND6lKFM","18M 42S","Joel Lightbound",0,"LIB","11.24","Mr. Speaker, I would also think that the some 20,000 children in my riding whose families receive more money through the Canada child benefit, which has lifted 300,000 kids out of poverty, would have the utmost confidence in the finance minister.","Mr. Speaker, I would also think that the some 20,000 children in my riding whose families receive more money through the Canada child benefit, which has lifted 300,000 kids out of poverty, would have the utmost confidence in the finance minister.","Mr . Speaker , I would also think that the some 20 , 000 children in my riding whose families receive more money through the Canada child benefit , which has lifted 300 , 000 kids out of poverty , would have the utmost confidence in the finance minister .",0.333333333333333,0.264482975155547,0.179178952512153,0.0891740861656861
38,"2017-12-01","2017 12 01 7","https://youtu.be/26jG_qIY9ec","19M 25S","Sheila Malcolmson",0,"NDP","7.29","Does the minister concede that this bill fails to end gender discrimination for all indigenous women?","Does the minister concede that this bill fails to end gender discrimination for all indigenous women?","Does the minister concede that this bill fails to end gender discrimination for all indigenous women ?",-1,-0.287598360655738,0.210684774207623,-0.737967213114754
39,"2017-12-01","2017 12 01 8","https://youtu.be/VuFoldRTCEI","20M 6S","Yvonne Jones",0,"LIB","11.16","We are making historic amendments to this bill today, and we are remedying all sex-based inequities that have existed going back to 1869.","We are making historic amendments to this bill today, and we are remedying all sex-based inequities that have existed going back to 1869.","We are making historic amendments to this bill today , and we are remedying all sex - based inequities that have existed going back to 1869 .",1,-0.0863712703454991,-0.0584381064024019,-0.205891048829198
40,"2017-12-01","2017 12 01 9","https://youtu.be/Z-GO0ple3xE","27M 38S","Kennedy Steward",0,"LIB","8.52","According to Statistics Canada, in 2012, during the worst year of Stephen Harper's war on science, the federal government employed 37,000 scientists and researchers.","According to Statistics Canada, in 2012, during the worst year of Stephen Harper's war on science, the federal government employed 37,000 scientists and researchers.","According to Statistics Canada , in 2012 , during the worst year of Stephen Harper ' s war on science , the federal government employed 37 , 000 scientists and researchers .",-1,-0.262869896277772,-0.294645057740467,-0.210495917022218
41,"2017-11-28","2017 11 28 0","https://youtu.be/M1QVQxPNTao","2M 26S","Justin Trudeau",0,"LIB","5.53","The fact is we always focus on the security of Canadians, and we always will.","The fact is we always focus on the security of Canadians, and we always will.","The fact is we always focus on the security of Canadians , and we always will .",NA,0.0901301115241636,0.0334842255383755,0
42,"2017-11-28","2017 11 28 1","https://youtu.be/Hcf7RTGZd7E","14M 42S","Pierre Poilievre",0,"CPC","14.44","Mr. Speaker, yesterday John Ivison indicated that he received some documents showing that the sale of the 680,000 shares by the minister would have happened on December 3","Mr. Speaker, yesterday John Ivison indicated that he received some documents showing that the sale of the 680,000 shares by the minister would have happened on December 3","Mr . Speaker , yesterday John Ivison indicated that he received some documents showing that the sale of the 680 , 000 shares by the minister would have happened on December 3",NA,-0.0572065628287427,-0.145060888877274,-0.203343626183474
43,"2017-11-28","2017 11 28 2","https://youtu.be/gq9-p2Fzra0","23M 7S","Joel Lightbound",1,"CPC","6.34","He also announced that he was donating to charity any difference in the value of those shares since the election.","Il a également annoncé qu'il donnait à des oeuvres de charité la différence en valeur des actions depuis l'élection.","He also announced that he was donating to charity any difference in the value of those shares since the election .",1,0.116783411233099,0.0947738817949881,0
44,"2017-11-28","2017 11 28 3","https://youtu.be/UUZnk8A9trw","23M 35S","Candice Bergen",0,"CPC","5.24","However, 24 hours have passed and I am hoping the Prime Minister may have spoken with his finance minister.","However, 24 hours have passed and I am hoping the Prime Minister may have spoken with his finance minister.","However , 24 hours have passed and I am hoping the Prime Minister may have spoken with his finance minister .",1,0.0959250023453191,-0.376135887848174,0
45,"2017-11-28","2017 11 28 4","https://youtu.be/GYHQCyQCa_g","28M 11S","Kristy Duncan",0,"LIB","6.41","Mr. Speaker our government is committed to creating open spaces for Canadians to debate and express their views.","Mr. Speaker our government is committed to creating open spaces for Canadians to debate and express their views.","Mr . Speaker our government is committed to creating open spaces for Canadians to debate and express their views .",1,0,-0.101998123651431,0
46,"2017-11-28","2017 11 28 5","https://youtu.be/YCXxVDwSvUA","29M 31S","Maxime Bernier",1,"CPC","4.57","My question is simple. Was that person the Minister of Finance?","La question est bien simple: est-ce que cette personne est bel et bien le ministre des Finances?","My question is simple . Was that person the Minister of Finance ?",NA,0,0.0925376918890978,0
47,"2017-11-28","2017 11 28 6","https://youtu.be/8ADo99cLUuE","33M 32S","Joel Lightbound",1,"LIB","5.59","Under the Conservatives, not only was it taxable, but it was also sent to all families, regardless of income.","Sous les conservateurs, non seulement elle était imposable, mais elle était envoyée à toutes les familles, nonobstant leur revenu.","Under the Conservatives , not only was it taxable , but it was also sent to all families , regardless of income .",NA,0,0.1934199454253,0
48,"2017-11-28","2017 11 28 7","https://youtu.be/DQMelzJEwlc","35M 17S","Karine Trudel",1,"NDP","7.15"," If the government did not know what it was doing when it implemented Phoenix, how can we expect it to fix this disaster?"," Si le gouvernement ne savait pas ce qu'il faisait lors de l'implantation de Phénix, comment pouvons-nous nous attendre à ce qu'il règle ce désastre? ","If the government did not know what it was doing when it implemented Phoenix , how can we expect it to fix this disaster ?",-1,-0.0180742540690998,-0.278617514278276,-0.205891048829198
49,"2017-11-28","2017 11 28 8","https://youtu.be/Mx4hSR3r9Q8","40M 37S","Navdeep Bains",0,"LIB","13.42","We support work-integrated learning, which is why we invested $221 million to create more workplace opportunities in science, technology, engineering, mathematics, and in business programs.","We support work-integrated learning, which is why we invested $221 million to create more workplace opportunities in science, technology, engineering, mathematics, and in business programs.","We support work - integrated learning , which is why we invested $221 million to create more workplace opportunities in science , technology , engineering , mathematics , and in business programs .",1,0.591291038259569,-0.120367508573746,0.441517593292254
50,"2017-11-28","2017 11 28 9","https://youtu.be/NCj-kfi_V00","40M 58S","Navdeep Bains",0,"LIB","4.01","This is about creating good-quality jobs for students for today and tomorrow.","This is about creating good-quality jobs for students for today and tomorrow.","This is about creating good xquality jobs for students for today and tomorrow .",1,0.280244868819206,0.477879960133487,0.408258659066465
51,"2017-11-23","2017 11 23 0","https://youtu.be/_3xiboe9CZo","7M 30S","Diane Lebouthillier",1,"LIB","8.45"," Mr. Speaker, no one is above the law and no one is interfering with the CRA's investigations.","Monsieur le Président, nul n'est au-dessus des lois et personne ne s'ingère dans les investigations de l'Agence du revenu du Canada.","Mr . Speaker , (no_one) not above the law and (no_one) not interfering with the CRA ' s investigations .",-0.5,0,0.0416848222184386,0
52,"2017-11-23","2017 11 23 1","https://youtu.be/TgoDj-iyQy4","9M 45S","Ralph Goodale",0,"LIB","21.18","The House can expect to see at least three different initiatives coming forward in the weeks and months immediately ahead, to establish a new policy framework, to provide a strategy that is geared to the 21st century, and a suite of initiatives that will ensure that Canada can be a leader in the forefront of the rest of the world.","The House can expect to see at least three different initiatives coming forward in the weeks and months immediately ahead, to establish a new policy framework, to provide a strategy that is geared to the 21st century, and a suite of initiatives that will ensure that Canada can be a leader in the forefront of the rest of the world.","The House can expect to see at least three different initiatives coming forward in the weeks and months immediately ahead , to establish a new policy framework , to provide a strategy that is geared to the 21st century , and a suite of initiatives that will ensure that Canada can be a leader in the forefront of the rest of the world .",1,0.272104089219331,0.201680326659298,0
53,"2017-11-23","2017 11 23 2","https://youtu.be/bAOYmabgQUU","17M 6S","Rachel Blaney",0,"NDP","11.58","Mr. Speaker, yesterday, the Liberal government finally announced its housing strategy—","Mr. Speaker, yesterday, the Liberal government finally announced its housing strategy—","Mr . Speaker , yesterday , the Liberal government finally announced its housing strategy—",NA,-0.0256893305928841,0.253889352835301,0
54,"2017-11-23","2017 11 23 3","https://youtu.be/iQqsBReAjWY","28M 18S","Sonia Sidhu",0,"LIB","10.42","I appreciate the time the Minister of National Revenue and her parliamentary secretary took to meet with me to discuss the situation and to allow me to share the concerns I have heard.","I appreciate the time the Minister of National Revenue and her parliamentary secretary took to meet with me to discuss the situation and to allow me to share the concerns I have heard.","I appreciate the time the Minister of National Revenue and her parliamentary secretary took to meet with me to discuss the situation and to allow me to share the concerns I have heard .",1,0.0660991346751682,0.103204015154256,0
55,"2017-11-23","2017 11 23 4","https://youtu.be/o_tlfQfHRGg","29M 59S","Diane Lebouthillier",1,"LIB","9.27","By reinstating the committee, the agency will benefit from its advice about enhancing the quality and accessibility of the services it provides to persons with disabilities and their families.","En le rétablissant, l'Agence bénéficiera de conseils pour rehausser la qualité et l'accessibilité des services qu'elle offre aux personnes handicapées et à leur famille.","By reinstating the committee , the agency will benefit from its advice about enhancing the quality and accessibility of the services it provides to persons with disabilities and their families .",0.666666666666667,0.18796395170747,0.0632999760913014,0.273673544864487
56,"2017-11-23","2017 11 23 5","https://youtu.be/7dXsh2HFZng","32M 16S","Ralph Goodale",0,"LIB","15.05","Mr. Speaker, the objective of the Government of Canada is to surveil them and contain them to ensure that they do not harm more people, and indeed bring the full force of Canadian justice against them for fighting for a terrorist organization.","Mr. Speaker, the objective of the Government of Canada is to surveil them and contain them to ensure that they do not harm more people, and indeed bring the full force of Canadian justice against them for fighting for a terrorist organization.","Mr . Speaker , the objective of the Government of Canada is to surveil them and contain them to ensure that they do not harm more people , and indeed bring the full force of Canadian justice against them for fighting for a terrorist organization .",-0.5,-0.126088160775417,-0.0274475169532111,-0.122297610448889
57,"2017-11-23","2017 11 23 6","https://youtu.be/QSZIgyqm8n8","34M 35S","Brigitte Sansoucy",1,"NDP","6.06","Why are seasonal workers still waiting for help?","Pourquoi les travailleurs et les travailleuses occupant un travail saisonnier doivent-ils encore attendre?","Why are seasonal workers still waiting for help ?",1,0.0823642877245593,0.0490110845297956,0
58,"2017-11-23","2017 11 23 7","https://youtu.be/WabHZxU7kBQ","39M 44S","Chrystia Freeland",0,"LIB","8.51","We will never accept extreme proposals that harm the national interest, and I know Canadians are with us.","We will never accept extreme proposals that harm the national interest, and I know Canadians are with us.","We will (never) not accept extreme proposals that harm the national interest , and I know Canadians are with us .",-0.25,0.0620232157934194,0.11355304443887,0.035610330827659
59,"2017-11-23","2017 11 23 8","https://youtu.be/rdaXZJdXoSc","41M 50S","Carla Qualtrough",1,"LIB","16.27","The strategy includes a $2-billion small-ship construction program for competitive procurement among Davie and other Canadian shipyards other than the yards selected to build large vessels."," Comme il est énoncé dans la stratégie, un montant de 2 milliards de dollars pour la construction de petits navires est réservé pour l'attribution de contrats concurrentiels à la Davie et aux autres chantiers navals canadiens autres que les chantiers navals sélectionnés pour construire les grands navires.","The strategy includes a $2 - billion small - ship construction program for competitive procurement among Davie and other Canadian shipyards other than the yards selected to build large vessels .",NA,0.0674336627367224,-0.142367924528302,0.142296083927805
60,"2017-11-23","2017 11 23 9","https://youtu.be/MRjj6F4Ihzk","45M 32S","Luc Theriault",1,"BQ","7.36","According to the ICAO, there is no obligation to standardize the high-risk items not allowed on planes.","Selon l'OACI, il n'y a aucune obligation d'uniformisation concernant les articles à risque élevé dans les avions.","According to the ICAO , there is (no) not obligation to standardize the high - risk items not allowed on planes .",0,-0.261557256952797,-0.169811149531678,-0.417891611124475
