Label,Video,Shuffle,Speaker,Party,Activation,Sentiment,englishHansard
0000753,2016 02 05 2,0.028838,"Mrs. Cheryl Gallant (Renfrew—Nipissing—Pembroke, CPC)",CPC,4,4,What plans does the FedNor minister have to conduct open public consultations and public hearings as part of the Competition Act review of this transaction?
0000779,2016 01 28 8,0.028912,"Hon. Diane Lebouthillier (Minister of National Revenue, Lib.)",LIB,6,6, During the election we campaigned on increasing the deduction for northern residents. It is a priority.
0000423,2016 12 02 2,0.031167,"Ms. Tracey Ramsey (Essex, NDP)",NDP,6,3,"Mr. Speaker, the government promised to fix the Phoenix pay system by October 31, but over a month later, people in my riding of Essex are still going without a paycheque. "
0000323,2017 03 08 2,0.031304,"Ms. Marilyn Gladu (Sarnia—Lambton, CPC)",CPC,6,3,His ministers are now taking their cue from him.
0000896,2015 04 29 5,0.033366,"Hon. John McKay (Scarborough—Guildwood, Lib.)",LIB,5,5,Will the current government advertise its $12-million cut for species at risk?
0000588,2016 06 10 7,0.038930,"Mr. Romeo Saganash (Abitibi—Baie-James—Nunavik—Eeyou, NDP)",NDP,5,4,The TRC's call to action number 43 calls on the government to do the same.
0000699,2016 04 11 8,0.040355,"Hon. Tony Clement (Parry Sound—Muskoka, CPC)",CPC,6,4,"Mr. Speaker, I understand a Canadian delegation met in recent days with the Reverend Hyeon Soo Lim, who remains in prison, forced to a life sentence of hard labour in North Korea."
0000733,2016 02 23 2,0.041827,"Hon. Thomas Mulcair (Outremont, NDP)",NDP,7,3,"On exactly what authority can a Prime Minister relieve Air Canada of its legal obligations, which are very clear under the terms of a piece of Canadian legislation that is still in force? "
0000912,2015 04 21 1,0.043236,"Mr. Charlie Angus (Timmins—James Bay, NDP)",NDP,7,3,"Mr. Speaker, former Senate law clerk Mark Audcent has testified that it was the business of the Prime Minister's Office to vet Senate appointees to see if they were actually eligible to sit in the Senate. "
0000916,2015 04 21 5,0.043902,"Mr. Adam Vaughan (Trinity—Spadina, Lib.)",LIB,7,3,"Mr. Speaker, during the debate yesterday we learned that in the middle of a disastrous oil spill in Vancouver, nobody in the federal government thought it was necessary to contact Vancouver city hall. "
0000648,2016 05 09 7,0.045451,"Hon. Marc Garneau (Minister of Transport, Lib.)",LIB,3,5," Of course, we encourage the port authority to work with all the local communities, including the City of Richmond."
0000458,2016 11 21 7,0.048961,"Mr. Fin Donnelly (Port Moody—Coquitlam, NDP)",NDP,6,4,Will the government eliminate this problem by supporting my bill to transition this industry to safe closed containment and protect marine mammals?
0000229,2017 06 01 8,0.049237,Sheri Benson,NDP,5,7,"Mr. Speaker, I do not have to remind the House that all members of Parliament benefit from a safe and secure workplace thanks to the brave men and women who work in the Parliamentary Protective Service."
0000013,2017 12 08 2,0.050397,Gerard Deltell,CPC,5,4,I hope that the measures will be introduced next week at the latest so we can debate them here in the House.
0000981,2015 02 20 0,0.050773,"Ms. Roxanne James (Parliamentary Secretary to the Minister of Public Safety and Emergency Preparedness, CPC)",CPC,7,2,That member's remark was absolutely false.
0000910,2015 04 24 9,0.050897,"Ms. Roxanne James (Parliamentary Secretary to the Minister of Public Safety and Emergency Preparedness, CPC)",CPC,5,6,"Mr. Speaker, our government is focused on ensuring that our shared border is secure, while easing the flow of legitimate travel and trade."
0000877,2015 05 15 6,0.051296,"Ms. Roxanne James (Parliamentary Secretary to the Minister of Public Safety and Emergency Preparedness, CPC)",CPC,4,5,"Mr. Speaker, let me be very clear. "
0000694,2016 04 11 3,0.054801,"Mr. Charlie Angus (Timmins—James Bay, NDP)",NDP,6,4,"I want to thank the minister for her positive words on Attawapiskat, but as the community said to me this morning, it should not take a state of emergency to get mental health workers to fly into a region that has had 700-plus suicide attempts."
0000235,2017 05 18 4,0.059066,Peter kent,CPC,5,5,"However, there are 12 other recommendations in the committee report aimed at fixing Canada's dysfunctional sanctions enforcement, to increase capacity, coordination, and commitment between departments and agencies."
0000349,2017 02 21 8,0.059614,"Mr. James Bezan (Selkirk—Interlake—Eastman, CPC)",CPC,7,3,"With escalating Russian aggression, our Ukrainian allies are concerned that the Liberals have turned their backs on them again. "
0000035,2017 12 01 4,0.059630,Matthew Dube,NDP,6,4,"Can the minister commit to come before the Standing Committee on Public Safety and National Security, and once again answer members' questions on this omnibus bill?"
0000139,2017 10 05 8,0.059708,Ahmed Hussen,LIB,5,7,"Mr. Speaker, I would like to thank the hon. member for Etobicoke—Lakeshore for his question."
0000798,2015 12 09 7,0.060440,"Hon. Dominic LeBlanc (Leader of the Government in the House of Commons, Lib.)",LIB,6,8,He is serving Canadians in an exemplary way.
0000065,2017 11 20 4,0.060583,Bill Morneau,LIB,4,6,"Mr. Speaker, as I have said, I will continue to work on behalf of Canadians. "
0000317,2017 03 20 6,0.061916,"Mr. Glen Motz (Medicine Hat—Cardston—Warner, CPC)",CPC,6,3,Will the Prime Minister confirm that he is using Privy Council Office resources to again help campaign in the upcoming five by-elections?
0000179,2017 09 19 8,0.062446,Bill Morneau,LIB,6,8,That is a really good situation. 
0000492,2016 10 26 1,0.063618,"Mr. Blaine Calkins (Red Deer—Lacombe, CPC)",CPC,6,4,The Prime Minister's own rules clearly state ministers should not grant preferential access to stakeholders.
0000188,2017 06 20 7,0.063981,Karine Trudel,NDP,6,4,"Mr. Speaker, despite the government's announcement, a lot of work remains to be done to save all the forestry jobs once and for all. "
0000685,2016 04 14 4,0.064221,"Ms. Linda Duncan (Edmonton Strathcona, NDP)",NDP,6,3,"Yesterday it was revealed that Transport Canada had withheld information on the 500 most dangerous level crossings, two of the most dangerous in my riding of Edmonton Strathcona."
0000829,2015 06 12 8,0.066944,"Hon. Pierre Poilievre (Minister of Employment and Social Development and Minister for Democratic Reform, CPC)",CPC,4,6,"In fact, Canada will play host to one of the issuances of the Magna Carta at the Canadian history museum."
0000441,2016 11 24 0,0.067814,"L'hon. Thomas Mulcair (Outremont, NPD)",NDP,6,4,"so 40 years ago, his government changed the plan."
0000791,2015 12 09 0,0.071661,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,4,6,"We encourage all members in the House to do that because it is a reflection of what Canadians asked for right across the country: investments in our future and in our communities, and help for the middle class by lowering taxes on the middle class and raising them for the wealthiest 1%."
0000419,2016 12 07 8,0.072472,"L’hon. Marc Garneau (ministre des Transports, Lib.)",LIB,4,6,I committed to work with him to see if we could speed up the process. 
0000022,2017 12 05 1,0.072746,Tracey Ramsey,NDP,5,5,Any trade deal must support Canadian jobs.
0001016,2015 01 28 5,0.072863,"Mr. Justin Trudeau (Papineau, Lib.)",LIB,7,3,"Will the Prime Minister live up to our sacred obligation, end this court battle, and start giving our veterans the help they deserve?"
0000191,2017 06 13 0,0.073930,Justin Trudeau,LIB,6,4,"However, they put forward proposals that were unfunded and that were not able to be implemented."
0000881,2015 05 12 0,0.075377,"Hon. Thomas Mulcair (Leader of the Opposition, NDP)",NDP,7,3,"While Liberals and Conservatives are feeding at the trough in the Senate, the current Conservative government is sitting idly by watching good middle-class jobs disappear."
0000485,2016 10 31 4,0.075613,"Mr. Charlie Angus (Timmins—James Bay, NDP)",NDP,7,3,"Mr. Speaker, with all due respect, reconciliation is not a hashtag. We are talking about a court order."
0000016,2017 12 08 5,0.075936,Jean-Yves Duclos,LIB,6,6,We have been working very hard over the past two years to make a number of benefits more flexible and more generous.
0000609,2016 06 02 8,0.076416,"Mr. Serge Cormier (Parliamentary Secretary to the Minister of Fisheries, Oceans and the Canadian Coast Guard, Lib.)",LIB,4,5,"The commissioner recommended screening measures for the minister's office, and the minister will recuse himself from any discussion or decision involving Mr. Irving and his businesses."
0000852,2015 06 01 1,0.077013,"L’hon. Bernard Valcourt (ministre des Affaires autochtones et du développement du Nord canadien, PCC)",CPC,6,7,"Mr. Speaker, I believe that the report will show that we have made a significant effort to improve the situation for first nations members and aboriginal people across Canada."
0000196,2017 06 13 5,0.077322,Jenny Kwan,NDP,6,4,A little support from the government can prevent this organization from shutting its doors.
0000551,2016 09 23 0,0.077351,"Mr. Jacques Gourde (Lévis—Lotbinière, CPC)",CPC,7,3,"Mr. Speaker, not only did they help themselves to taxpayers' money, but all week the Prime Minister defended the indefensible in an attempt to downplay the matter."
0000945,2015 03 24 4,0.078099,"Hon. Kerry-Lynne D. Findlay (Minister of National Revenue, CPC)",CPC,4,6," The CRA has taken concrete measures to strengthen privacy management, as recommended by the PC, by implementing a CRA directorate responsible for CRA policy and assessment procedures, a proactive training program to ensure CRA employees are fully informed of their duties to protect the privacy of Canadians and by revising security and privacy related processes."
0000991,2015 02 17 0,0.078808,"Right Hon. Stephen Harper (Prime Minister, CPC)",CPC,7,3,"Mr. Speaker, we believe that a large percentage of Quebeckers agree with our government on tax breaks, tax cuts, direct benefits to families and the fight against crime and terrorism, rather than with a party that wants to increase taxes, provides benefits to bureaucrats and unions, and does not take the fight against terrorists, jihadists and criminals seriously."
0000604,2016 06 02 3,0.079147,"Hon. Maryam Monsef (Minister of Democratic Institutions, Lib.)",LIB,6,4,Our job is to ensure that the voices of the marginalized are included in this conversation.
0000058,2017 11 23 7,0.079347,Chrystia Freeland,LIB,7,4,"We will never accept extreme proposals that harm the national interest, and I know Canadians are with us."
0000690,2016 04 14 9,0.079744,"Mr. Gabriel Ste-Marie (Joliette, BQ)",BQ,6,4,"It calls on the federal government to work with Quebec to implement the motion I will be moving this evening, which will put an end to the shameful use of tax havens in Barbados. "
0000801,2015 12 07 0,0.079881,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,6,5,"We will remain engaged in terms of our military, but we are withdrawing our fighter jets."
0000718,2016 03 09 7,0.080275,"Hon. John McKay (Parliamentary Secretary to the Minister of National Defence, Lib.)",LIB,5,7,We are contributing in a significant and major way.
0000612,2016 05 20 1,0.085026,"Hon. Maryam Monsef (Minister of Democratic Institutions, Lib.)",LIB,7,3,"This may not be okay with the members opposite, but that is our way of ensuring that Canadians in 21st century Canada are included in this important conversation."
0000728,2016 02 26 7,0.085238,"Hon. Hunter Tootoo (Minister of Fisheries, Oceans and the Canadian Coast Guard, Lib.)",LIB,4,5,"As minister, I and my team held many meetings with stakeholders on issues related to my mandate."
0000560,2016 09 23 9,0.085632,"Hon. Catherine McKenna (Minister of Environment and Climate Change, Lib.)",LIB,4,6,"The federal government, together with the provinces and territories, recognized in Vancouver that we need to come up with an ambitious plan for meeting our international obligations today and in the future."
0000108,2017 10 25 7,0.086529,Peter Kent,CPC,7,3,"Mr. Speaker, the United Nations Educational, Scientific and Cultural Organization has, for decades, been a petri dish of corruption, financial mismanagement, and political bias."
0000340,2017 02 24 9,0.089288,"Hon. Hunter Tootoo (Nunavut, Ind.)",IND,5,5," Mr. Speaker, my question is for the Prime Minister."
0000711,2016 03 09 0,0.089897,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,6,7,"The House, linguistic minorities, and all of Canada thank you for your passion and your service."
0000734,2016 02 23 3,0.092205,"Hon. Thomas Mulcair (Outremont, NDP)",NDP,6,4,"As unemployment goes up and the number of Canadians receiving EI benefits actually does down, Canadians are demanding action to help families pay the bills and to put food on the table."
0000223,2017 06 01 2,0.094360,Andrew Scheer,CPC,6,4,It is also just a coincidence that two of her former employees now work for the Minister of Canadian Heritage.
0000701,2016 03 21 0,0.094695,"Hon. Rona Ambrose (Leader of the Opposition, CPC)",CPC,7,3,"Will the Prime Minister admit that because of his mismanagement, Canadians will be stuck paying for his out-of-control spending?"
0000409,2016 12 12 8,0.095334,"Hon. Jane Philpott (Minister of Health, Lib.)",LIB,5,6,We will work with all provinces and territories to promote vaccination.
0000518,2016 10 18 7,0.096048,"Mr. Romeo Saganash (Abitibi—Baie-James—Nunavik—Eeyou, NDP)",NDP,6,4,"Yesterday, nine people were arrested, including elders, and two are on hunger strikes."
0000868,2015 05 27 7,0.096260,"Hon. Leona Aglukkaq (Minister of the Environment, Minister of the Canadian Northern Economic Development Agency and Minister for the Arctic Council, CPC)",CPC,3,5,That translates to 225 megatonnes.
0000392,2017 01 30 1,0.097304,"Hon. Thomas Mulcair (Outremont, NDP)",NDP,7,3,    What does the Prime Minister intend to do to provide ongoing assistance to the thousands of refugees who are now banned from the United States?
0000695,2016 04 11 4,0.099501,"Hon. Lisa Raitt (Milton, CPC)",CPC,7,3,Can the Minister of Finance tell us today which taxes he is actually going to raise on us?
0000001,2017 12 13 0,0.099688,Alexandre Boulerice,NDP,7,3,"I thought we usually hired an investigator to get to the bottom of a crime, not to cover the offender's tracks."
0000011,2017 12 08 0,0.101696,Pierre Poilievre,CPC,4,5,He then raised it back up to 10.5%
0000944,2015 03 24 3,0.103867,"L'hon. Steven Blaney (ministre de la Sécurité publique et de la Protection civile, PCC)",CPC,4,6,There are several provisions in Bill C-51 regarding review processes and judicial oversight.
0000265,2017 05 05 4,0.105177,"M. Joël Godin (Portneuf—Jacques-Cartier, PCC)",CPC,7,3,How can he continue to oversee the Department of National Defence after losing the respect of every member of the armed forces?
0000085,2017 11 02 4,0.106328,Peter Kent,CPC,7,3,"The Prime Minister is all but directly blaming the Ethics Commissioner, blaming the Ethics Commissioner for the finance minister's several inexcusable lapses of judgment and for the Prime Minister's own willingness to look the other way."
0000789,2016 01 25 8,0.106525,"Mr. Chris Warkentin (Grande Prairie—Mackenzie, CPC)",CPC,7,2,How can he justify her hiring and how can he justify this blatant conflict of interest?
0000969,2015 03 09 8,0.108828,"Mr. François Lapointe (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup, NDP)",NDP,7,4,Will he at least commit to using all the money voted by Parliament for that purpose this year?
0000830,2015 06 12 9,0.109247,"Hon. Pierre Poilievre (Minister of Employment and Social Development and Minister for Democratic Reform, CPC)",CPC,5,6,"It was one of the first examples of where the power of the Crown, also now known as the state, was restrained and the power of the individual was elevated."
0000712,2016 03 09 1,0.109459,"Hon. Rona Ambrose (Leader of the Opposition, CPC)",CPC,6,3,"Mr. Speaker, tonight, the Prime Minister is going to be in Washington with his pals at the Center for American Progress. "
0001019,2015 01 28 8,0.109514,"Mr. Chris Warkentin (Peace River, CPC)",CPC,7,3," Mr. Speaker, today we woke up to the horrendous news that Israel has once again been the target of terrorist attacks."
0000110,2017 10 25 9,0.109814,Marc Serre,LIB,5,5,Could the Prime Minister give us an idea of the kind of work the government is doing to improve access to drinking water and wastewater treatment on reserves?
0000075,2017 11 07 4,0.111730,Luc Berthold,CPC,6,3,"In the same interview, he said that the goal was to raise a pile of money to help the Liberal leader become the next prime minister. "
0000856,2015 06 01 5,0.112380,"Hon. Joe Oliver (Minister of Finance, CPC)",CPC,5,4,"Mr. Speaker, this is a further indication of global economic uncertainty—"
0000787,2016 01 25 6,0.112677,"Hon. Jane Philpott (Minister of Health, Lib.):  ",LIB,4,6,"Mr. Speaker, I have just met with my provincial and territorial colleagues and have reiterated to them that our government fully supports the principles of the Canada Health Act, which are meant to ensure that all Canadians have reasonable access to medically necessary care based upon need and not based upon the ability to pay."
0000073,2017 11 07 2,0.116253,Diane Lebouthillier,LIB,6,4,"Mr. Speaker, as I said, our government is fully committed to fighting tax evasion and aggressive tax avoidance, which the Conservative Party failed to do for 10 years."
0000444,2016 11 24 3,0.116300,"Mr. John Brassard (Barrie—Innisfil, CPC)",CPC,7,3,"All of us know that Ontario is broke, but why are Canadian taxpayers paying for Kathleen Wynne's public relations bills?"
0000767,2016 02 02 6,0.117972,"Mme Ruth Ellen Brosseau (Berthier—Maskinongé, NPD)",NDP,4,6,The government is going to sign the trans-Pacific partnership agreement tomorrow.
0000464,2016 11 16 3,0.118677,"Ms. Rachel Blaney (North Island—Powell River, NDP)",NDP,5,4,"Mr. Speaker, in their platform, the Liberals argued that the government would use its strong credit rating and leading lending authority to meet municipalities' infrastructure needs."
0001013,2015 01 28 2,0.118714,"Hon. Thomas Mulcair (Leader of the Opposition, NDP)",NDP,5,3,It is a simple question. 
0000382,2017 02 02 1,0.120160,"Hon. Jane Philpott (Minister of Health, Lib.)",LIB,4,6,"We will work together to address the opioid crisis in a manner that is comprehensive, evidence-based, and responds to the needs of Canadians."
0000858,2015 06 01 7,0.122544,"Mr. Jasbir Sandhu (Surrey North, NDP)",NDP,7,3,"Immediate action is needed, but the Conservatives are stalling and refusing to commit to a timeline for the arrival of new RCMP officers in Surrey."
0000617,2016 05 20 6,0.123010,"Mr. Mark Strahl (Chilliwack—Hope, CPC)",CPC,6,3,Why did the minister appoint someone with such a clear bias on shrimp allocation to his advisory panel?
0000883,2015 05 12 2,0.123171,"Ms. Roxanne James (Parliamentary Secretary to the Minister of Public Safety and Emergency Preparedness, CPC)",CPC,6,4,"However, as I stated last week, I would like point out that on this side of the House we actually support our law enforcement in Canada. "
0000727,2016 02 26 6,0.123383,"Hon. Dominic LeBlanc (Leader of the Government in the House of Commons, Lib.)",LIB,6,3,What the member is obviously having trouble understanding is that the Conflict of Interest Act and the code that is applicable is applied by the independent Ethics Commissioner.
0000507,2016 10 21 6,0.125383,"Mrs. Sylvie Boucher (Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix, CPC)",CPC,6,3,"By way of evidence, we learned that the Minister of Finance made himself available to people who are rich like him for a price. He charged $1,500 for an evening."
0000098,2017 10 30 7,0.126796,Cheryl Hardcastle,NDP,6,4,Will the minister reverse this directive so that all persons previously eligible for this benefit can continue—
0000315,2017 03 20 4,0.127025,"L’hon. Mélanie Joly (ministre du Patrimoine canadien, Lib.)",LIB,5,6,"  Of course, we launched public consultations last year to consider all the repercussions that digital services have on the entire Canadian cultural ecosystem."
0000247,2017 05 15 6,0.127476,Sheila Malcomson,NDP,6,6,"Affordable child care in Canada would be good for families, for women rejoining the workforce, and for the economy."
0000459,2016 11 21 8,0.128551,"Mr. John Brassard (Barrie—Innisfil, CPC)",CPC,5,4,Many of our veterans have testified about suffering long-lasting and life-altering side effects after using this drug.
0000668,2016 04 22 7,0.129096,"Hon. Hunter Tootoo (Minister of Fisheries, Oceans and the Canadian Coast Guard, Lib.)",LIB,7,4,"I would like to inform the member and this House that actually yesterday I signed off on a whole bunch of those things, and we are addressing the backlog that is there."
0000490,2016 10 31 9,0.131317,"Ms. Sheri Benson (Saskatoon West, NDP)",NDP,7,3,"Mr. Speaker, this Halloween was supposed to mark the end of the nightmares caused by the Phoenix pay system, but the horror story lives on. "
0000167,2017 09 22 6,0.131337,Monique Pauze,BQ,7,3,"If Ottawa does not want to tax Netflix, Quebec will. European states and Quebec will step up in the new digital environment to protect their culture, their artists, and their authors."
0000437,2016 11 29 6,0.134632,"Hon. Patty Hajdu (Minister of Status of Women, Lib.)",LIB,6,4,"Mr. Speaker, we know that when women and girls are facing violence, they deserve a safe place to turn."
0000523,2016 10 06 2,0.135706,"Hon. MaryAnn Mihychuk (Minister of Employment, Workforce Development and Labour, Lib.)",LIB,5,7," Instead, we are providing help to go to school, providing help to find the experience that they need, and working with industries and employers from coast to coast to coast to allow them an opportunity to have more co-ops, work placements, which will ensure that young people have a successful career going forward."
0000302,2017 03 23 1,0.136009,"Hon. Bardish Chagger (Leader of the Government in the House of Commons and Minister of Small Business and Tourism, Lib.)",LIB,6,7,"Let there be no mistake: our Prime Minister will be more accountable, not less accountable."
0000325,2017 03 08 4,0.136767,"Ms. Georgina Jolibois (Desnethé—Missinippi—Churchill River, NDP)",NDP,6,3,"Worse, northern families do not have access to proper information due to unreliable Internet and other crucial services."
0000925,2015 04 01 4,0.137382,"Hon. Dominic LeBlanc (Beauséjour, Lib.)",LIB,7,3,"Instead of doing something about it, the Conservatives keep singing the praises of the Minister of Finance, who keeps failing to show up for work."
0000537,2016 10 03 6,0.137846,"Hon. Ralph Goodale (Minister of Public Safety and Emergency Preparedness, Lib.)",LIB,5,6,"On that point, we have invited Canadians to review that part of that ministerial directive and give us their advice on whether or not those present terms and the offences around them are acceptable."
0000451,2016 11 21 0,0.139242,"Hon. Gerry Ritz (Battlefords—Lloydminster, CPC)",CPC,6,3," Why are our Prime Minister and our Minister of International TradeMIA, allowing Canada to be left out of this important deal?"
0000572,2016 06 15 1,0.139715,"Hon. Stéphane Dion (Minister of Foreign Affairs, Lib.)",LIB,6,4,"Mr. Speaker, I would like to take this opportunity to inform the House that today the parliament of Sweden rejected the same kind of motion by a vote of 268 to 43."
0000569,2016 09 19 8,0.139987,"Hon. Harjit S. Sajjan (Minister of National Defence, Lib.)",LIB,6,6,"We are going to be going in with eyes wide open, making sure that we have all the necessary information to allow the military to do its work, as well as the Minister of Foreign Affairs and the Minister of International Development."
0000821,2015 06 12 0,0.143909,"Mr. Colin Carrie (Parliamentary Secretary to the Minister of the Environment, CPC)",CPC,4,6,"Since 2006, we have taken action on more than 2,700 substances under the chemicals management plan, "
0000086,2017 11 02 5,0.143950,Gerard Deltell,CPC,6,3,"The Liberal government is introducing a bill on access to information that would prevent the excellent work of journalists, people like Daniel Leblanc and others, from revealing things like the sponsorship scandal."
0000361,2017 02 10 0,0.144917,"Hon. Jean-Yves Duclos (Minister of Families, Children and Social Development, Lib.)",LIB,6,7,"One thing that is certainly well known is that we have put into place a reduction in middle-class taxes, benefiting nine million middle-class taxpayers, and increasing taxes on the top 1% of Canadians."
0000370,2017 02 10 9,0.146679,"Mr. Sean Casey (Parliamentary Secretary to the Minister of Canadian Heritage, Lib.)",LIB,6,6,"Members might ask “What Do You Mean?” Well, Drake, Justin Bieber, and The Weeknd are in the top 10 global recording artists of 2016. "
0000759,2016 02 05 8,0.147298,"Mr. Greg Fergus (Parliamentary Secretary to the Minister of Innovation, Science and Economic Development, Lib.)",LIB,4,6,"owever, we recognize that the aerospace sector is a very important industry that relies heavily on exports and employs over 180,000 Canadians. It is very important—"
0000935,2015 03 27 4,0.148835,"Mr. Murray Rankin (Victoria, NDP)",NDP,8,2,Conservative cuts are simply destroying our public broadcaster.
0000105,2017 10 25 4,0.149662,Justin Trudeau,LIB,6,6,"The reality, however, is that we have a Conflict of Interest and Ethics Commissioner who makes sure all MPs follow the rules and follow her advice."
0000060,2017 11 23 9,0.151621,Luc Theriault,BQ,3,5,"According to the ICAO, there is no obligation to standardize the high-risk items not allowed on planes."
0000550,2016 09 28 9,0.152136,"Hon. Lawrence MacAulay (Minister of Agriculture and Agri-Food, Lib.)",LIB,7,7,Last week was a great week for Canadian agriculture.
0000592,2016 06 07 1,0.152741,"Hon. Mark Eyking (Sydney—Victoria, Lib.)",LIB,6,6,"Mr. Speaker, the men and women of the Canadian Coast Guard work hard to protect Canadians and the bodies of water from coast to coast to coast."
0000663,2016 04 22 2,0.155793,"Hon. John McKay (Parliamentary Secretary to the Minister of National Defence, Lib.)",LIB,6,3,"Madam Speaker, it is only the Conservative opposition that can turn happy news into bad news."
0000487,2016 10 31 6,0.155952,"M. Gérard Deltell (Louis-Saint-Laurent, PCC)",CPC,7,3," The government's plan is not working, so what is it going to do to help small businesses, which create wealth and jobs?"
0000932,2015 03 27 1,0.156057,"Ms. Roxanne James (Parliamentary Secretary to the Minister of Public Safety and Emergency Preparedness, CPC)",CPC,6,4," I would like to remind the member opposite that we have a strong system of gun control in Canada, and our government has toughened laws and penalties for those who commit crimes with guns."
0000751,2016 02 05 0,0.156422,"Hon. K. Kellie Leitch (Simcoe—Grey, CPC)",CPC,6,3, Why does the government want to impose artificial limits on Canada's fight against terrorism?
0001007,2015 02 05 6,0.157735,"Ms. Niki Ashton (Churchill, NDP)",NDP,7,6,"It is vital to the healing of first nations, Métis, and Inuit people in Ottawa who are at risk or in transition."
0000671,2016 04 19 0,0.159776,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,7,3,The reality is that the Conservatives are still trying to use transparency as a political weapon against their opponents rather than understanding that true transparency means having trust in Canadians and trust in our unions.
